﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
pozostałe;szt.;—;—;—;—;—;48;148;300;4494;28 140;68 175;145 314;224 618;424 132;530 510;571 294;579 352;536 463;505 650;429 534;396 453;433 000;470 000;486 000;423 200;330 706;469 216;491 020;523 300;556 853;550 538;524 900;533 800;458 500;448 717;402 370;391 362;417 076;439 470;435 562;495 038;523 126;457 680;502 344;338 037;222 486;206 222;196 119;188 262;169 782;188 921;169 684;123 370;98 290
Produkcja odkurzaczy elektrycznych domowych;szt.;—;—;—;—;—;—;—;3200;13 100;10 557;9663;33 335;42 000;69 105;85 467;101 562;115 093;139 903;164 902;241 512;272 901;275 000;257 000;315 000;383 093;439 374;495 650;510 328;632 151;800 095;854 033;900 225;900 943;895 373;960 899;891 038;833 451;885 879;926 742;950 250;970 932;1 022 228;1 081 172;1 085 819;912 780;856 547;961 415;1 000 910;1 143 033;1 155 674;1 306 708;1 296 984;1 577 725;1 995 675
Produkcja froterek elektrycznych;szt.;—;—;—;—;—;—;700;2000;7300;5998;3109;5897;11 569;4710;11 654;15 700;17 100;15 900;23 500;27 900;30 900;19 300;33 900;38 900;52 400;46 771;48 647;81 190;105 642;117 136;93 020;78 851;39 900;32 311;35 674;23 507;14 611;18 938;18 142;14 363;10 938;6670;18 175;8400;8570;6172;5148;5318;3913;2843;2300;1513;1077;492
Produkcja chłodziarek i zamrażarek domowych;szt.;—;—;—;—;—;10;700;400;2200;3400;6100;9200;23 400;28 900;37 700;50 700;77 900;120 000;186 000;289 000;334 000;341 000;388 000;400 000;444 000;492 580;526 879;600 691;657 028;715 199;820 305;821 100;890 500;765 300;693 586;553 442;508 701;533 829;543 091;578 126;568 990;506 492;484 081;515 893;603 626;553 134;499 885;587 781;604 674;585 463;583 981;705 120;714 245;725 805
Produkcja maszyn do szycia domowych;szt.;—;—;—;—;—;200;4000;8800;18 400;56 900;125 000;157 000;163 000;171 000;209 000;232 000;260 000;218 000;180 000;178 000;135 000;144 000;175 000;210 000;235 229;249 045;264 460;278 055;301 971;331 167;334 346;339 100;322 100;363 600;409 154;382 743;350 419;371 678;385 103;419 035;440 175;450 011;442 759;422 365;342 924;245 410;126 726;168 749;180 757;179 474;86 209;73 242;64 210;58 661
Produkcja kotłów parowych płomiennorurowych;szt.;.;.;.;11;14;71;59;47;77;108;170;235;312;340;265;266;264;257;149;167;199;178;212;176;152;173;214;189;108;164;162;229;127;151;116;225;280;410;389;334;347;229;225;150;206;231;111;77;69;37;13;11;16;13
Produkcja kotłów parowych płomiennorurowych;m2 p. o.;.;.;.;.;.;.;.;5330;7220;9530;14 705;19 550;24 840;26 035;21 466;20 382;21 645;20 044;12 295;12 710;15 895;16 880;21 220;15 525;12 000;16 255;23 356;21 077;12 030;16 700;16 846;17 476;10 010;9835;8099;12 186;17 673;23 408;22 539;19 187;22 610;14 283;18 075;11 183;19 139;19 751;9416;4557;5839;3679;1596;1760;4481;2728
Produkcja kotłów parowych płomiennorurowych;t;.;.;.;260;257;2338;1982;1533;1990;2640;3756;4554;6266;6296;5097;4382;4222;4371;2747;2611;3373;3760;5484;3181;2543;3374;4224;3829;2322;2857;3372;3615;1904;1874;1595;2340;2985;4367;3738;3315;4011;2282;2757;1675;2839;2800;1179;677;743;479;209;196;299;267
Produkcja silników spalinowych tłokowych wysokoprężnych (bez samochodowych i ciągnikowych);szt.;—;1;204;710;1209;2136;2055;3435;4393;4478;6035;8424;16 293;16 605;4130;6229;9332;10 670;12 325;12 174;8834;11 277;13 527;13 227;15 348;17 114;19 423;23 891;28 240;29 563;31 571;31 333;32 447;33 474;38 519;30 373;32 841;32 181;32 692;33 421;32 791;33 588;32 331;31 749;21 018;8182;5538;5132;4007;6078;9733;6554;5093;18 288
okrętowych napędu głównego;szt.;—;—;—;—;—;—;—;—;—;—;—;—;2;2;10;20;33;42;50;55;69;80;86;102;105;99;111;130;148;147;147;147;146;159;105;91;118;112;121;128;125;142;105;100;81;72;52;47;29;35;41;38;31;30
pozostałych;szt.;—;1;204;710;1209;2136;2055;3435;4393;4478;6035;8424;16 291;16 603;4120;6209;9299;10 628;12 275;12 119;8765;11 197;13 441;13 125;15 243;17 015;19 312;23 761;28 092;29 416;31 424;31 186;32 301;33 315;38 414;30 282;32 723;32 069;32 571;33 293;32 666;33 446;32 226;31 649;20 937;8110;5486;5085;3978;6043;9692;6516;5062;18 258
Produkcja silników spalinowych tłokowych wysokoprężnych (bez samochodowych i ciągnikowych);cyl.;—;2;204;860;1540;2884;2789;5035;6410;7807;14 953;19 199;23 952;23 919;11 061;12 336;16 781;19 340;22 703;27 946;26 765;41 635;47 968;46 048;51 180;77 464;80 768;97 545;105 875;118 267;120 764;134 068;139 003;147 708;167 272;122 198;129 891;141 593;144 795;152 838;150 507;157 952;143 086;139 105;109 017;26 765;15 844;13 024;11 609;19 681;31 265;18 101;14 550;51 224
Produkcja silników spalinowych tłokowych wysokoprężnych okrętowych napędu głównego;tys. kW;—;—;—;—;—;—;—;—;—;—;—;—;6,8;11,5;41,2;72,9;119,5;154,5;200,8;211,7;294,5;316,7;343,2;383,5;390;456,6;532,6;586,5;686,2;772,9;785,9;835,3;775,7;720,5;536,2;392,4;429,5;459,5;426,1;406;390;369;326,5;257,3;249,7;299;346;337,9;245,6;292,6;396,9;345,1;392,7;294,1
Produkcja maszyn i urządzeń oraz sprzętu do robót górniczych;t;.;.;.;.;19 100,0;.;.;.;.;.;.;.;.;.;54 700,0;55 300,0;61 700,0;68 000,0;73 500,0;79 800,0;82 500,0;77 300,0;84 500,0;99 000,0;107 607,0;117 706,0;130 169,0;140 617,0;161 028,0;194 378,0;208 432,0;249 186,0;284 605,0;353 794,0;375 328,0;306 808,0;324 998,0;336 720,0;338 927,0;396 294,0;461 200,0;489 594,0;511 669,0;370 789,0;230 987,0;147 558,0;137 958,0;122 835,0;139 864,0;144 108,0;218 700,0;236 167,0;120 943,0;81 592,0
maszyn górniczych do urabiania węgla;t;.;.;.;.;—;.;.;.;.;.;.;.;.;.;805;805;844;1411;1042;1271;1281;2015;1756;2303;3540;4150;3705;3357;4834;4829;6003;6031;7719;8015;6721;4832;6707;8899;8309;8514;8940;9652;9393;8137;5251;2690;2407;1621;5036;4724;4740;3853;14 632;16 465
Produkcja maszyn i urządzeń do przeróbki mechanicznej rud i węgla;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8114;8887;9190;9580;10 387;10 959;13 017;13 804;12 614;14 447;14 136;11 444;13 359;12 639;14 015;14 676;16 327;16 343;14 438;15 258;18 478;15 542;16 065;13 582;11 231;11 083;12 352;11 615;12 182;11 058;10 561;9244;6550;4599;4397;4569;2031;1875;1653;2802
Produkcja maszyn, urządzeń i narzędzi wiertniczych;t;.;.;.;.;.;.;.;.;.;2755;3598;5622;3090;3691;4066;4910;6241;6715;7055;7764;7630;8539;10 654;10 621;8543;6532;7555;10 556;6905;12 703;12 088;8936;8432;8125;8231;6925;6442;7030;8355;9248;7627;8056;7575;6484;3896;2745;1906;1382;1429;2959;2194;2540;3287;3907
Produkcja maszyn i urządzeń hutniczych;t;.;.;.;.;8574;.;.;.;.;.;.;.;.;.;20 228;29 418;26 476;30 794;33 398;38 732;37 746;43 010;42 316;41 803;47 367;45 816;41 324;50 690;52 429;54 213;62 804;73 947;74 071;74 458;59 895;44 141;35 525;34 555;27 305;28 279;23 521;27 198;31 349;30 161;28 935;19 624;16 316;11 061;10 374;12 793;12 822;11 500;9256;4540
Produkcja obrabiarek skrawających do metali;szt.;1632;2953;3952;5182;3825;5495;10 515;8739;11 039;12 723;15 136;17 425;19 125;20 814;22 470;22 302;24 896;27 337;29 344;31 134;32 625;32 263;29 010;29 933;29 726;33 081;36 294;34 698;33 805;33 192;24 234;23 178;29 991;29 712;28 194;30 530;32 237;39 279;47 125;48 687;43 082;37 955;46 054;44 342;25 849;15 521;16 388;13 012;10 287;10 005;10 402;11 417;11 236;11 475
ze sterowaniem numerycznym;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;13;17;57;79;107;180;231;307;310;327;332;201;209;214;275;327;417;447;469;475;357;182;73;94;102;141;192;206;190;141
pozostałe;szt.;1632;2953;3952;5182;3825;5495;10 515;8739;11 039;12 723;15 136;17 425;19 125;20 814;22 470;22 302;24 896;27 337;29 344;31 134;32 625;32 263;29 010;29 933;29 713;33 064;36 237;34 619;33 698;33 012;24 003;22 871;29 681;29 385;27 862;30 329;32 028;39 065;46 850;48 360;42 665;37 508;45 585;43 867;25 492;15 339;16 315;12 918;10 185;9864;10 210;11 211;11 046;11 334
Produkcja obrabiarek skrawających do metali;t;2460;4080;6806;9438;11 385;13 742;15 991;18 491;23 018;24 215;24 074;27 158;27 617;30 352;32 381;35 195;39 286;40 215;41 432;43 326;43 675;47 811;48 753;52 561;52 827;53 743;55 545;54 150;52 268;48 821;45 421;43 278;45 259;42 482;37 631;32 116;33 726;33 862;34 257;34 820;33 382;31 450;32 445;29 828;27 033;15 539;8685;7003;6171;7421;7812;7402;7861;6356
ze sterowaniem numerycznym;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;100;.;.;.;.;1366;1963;2473;2175;2080;2440;1402;1302;1261;1679;2029;2322;2610;2876;3429;2203;1279;644;1332;1216;1193;1470;1647;1797;1035
pozostałe;t;2460;4080;6806;9438;11 385;13 742;15 991;18 491;23 018;24 215;24 074;27 158;27 617;30 352;32 381;35 195;39 286;40 215;41 432;43 326;43 675;47 811;48 753;52 561;52 727;.;.;.;.;47 455;43 458;40 805;43 084;40 402;35 191;30 714;32 424;32 601;32 578;32 791;31 060;28 840;29 569;26 399;24 830;14 260;8041;5671;4955;6228;6342;5755;6064;5321
