﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja koparek jednonaczyniowych;szt.;—;—;—;—;—;—;—;1;17;57;140;212;252;287;386;432;511;601;682;852;928;1128;1439;1969;2346;2648;3072;3238;2739;2781;2475;2400;2430;2508;2206;1741;2306;2336;2419;2144;2415;2537;2662;2117;1035;463;263;258;197;246;234;239;256;112
Produkcja maszyn, urządzeń i narzędzi rolniczych i dla gospodarki leśnej;t;23 500;36 400;40 200;37 000;39 600;47 700;57 700;66 100;104 000;123 660;133 619;143 978;155 893;104 109;128 804;142 000;151 000;168 000;183 000;195 000;185 000;194 000;198 000;209 000;227 350;323 098;252 240;278 231;305 587;337 864;343 907;327 727;341 861;353 397;342 977;316 434;405 811;468 300;467 071;459 703;430 689;410 231;405 608;380 936;266 146;90 143;79 156;69 706;89 329;95 634;117 860;116 252;87 568;70 660
Produkcja pługów ciągnikowych;szt.;119;17;3023;7350;8628;8270;6664;7953;7255;9729;13 493;16 388;15 570;14 068;19 455;28 034;23 374;17 849;31 307;28 765;16 227;24 303;22 453;27 416;28 099;29 373;27 981;28 166;35 204;41 434;38 180;33 349;33 052;34 653;30 024;32 881;57 391;72 677;86 777;84 738;66 232;47 834;44 521;40 408;31 117;14 694;13 347;14 066;19 638;19 044;15 120;13 561;9690;5815
Produkcja pługów konnych;szt.;69 100;100 600;62 600;24 200;49 700;71 300;85 200;112 000;96 300;86 233;111 117;213 821;148 168;24 156;53 300;41 000;73 100;81 300;92 700;90 200;57 900;53 900;54 700;67 800;50 249;42 338;11 677;26 213;32 956;40 400;46 331;29 640;9130;16 505;15 779;19 076;15 961;35 761;30 786;3505;1710;800;600;1000;427;618;138;92;58;48;8;1;—;—
Produkcja kultywatorów ciągnikowych;szt.;—;—;636;4441;1469;2550;1951;4004;4630;5000;4750;1400;2621;4309;5419;9149;7553;5800;9550;15 392;8600;4480;2736;5250;6775;10 805;9674;11 703;10 243;14 652;15 407;12 725;14 167;15 635;11 319;12 553;22 986;60 234;59 280;21 650;23 725;24 003;28 337;27 257;15 124;8399;9724;8401;8725;7553;7206;7709;4820;2330
Produkcja bron talerzowych;szt.;—;—;—;—;8;1114;1759;3949;4503;5411;4526;1522;3898;2791;3524;6850;5321;4150;6000;5777;8018;6828;6828;4831;6600;5562;2028;1002;1341;2400;2684;2893;3608;4508;5406;3695;6197;10 334;6210;2800;3657;3350;4404;2196;1942;3094;6034;3639;4474;5731;4684;5058;2676;1833
Produkcja siewników polowych zbożowych ciągnikowych;szt.;—;—;—;—;10;2479;3720;3953;1450;2006;584;20;—;1320;3840;7309;5603;704;3540;8667;8716;5710;1637;2153;3221;3880;1020;3;24;1030;3538;5897;10 721;13 400;13 434;12 840;16 622;17 555;19 872;21 576;21 836;21 620;20 969;16 541;12 393;3970;5118;6378;7896;6436;7054;5880;3392;1619
Produkcja siewników polowych zbożowych konnych;szt.;6480;6812;13 578;13 866;3343;3199;4135;7900;14 835;18 001;21 198;23 172;21 138;12 256;16 000;18 555;25 636;37 402;39 509;40 060;40 620;44 000;44 851;33 349;29 018;42 003;48 663;44 692;45 815;41 968;34 517;15 000;6000;—;7000;11 201;5383;9072;9768;9505;8320;3177;3453;6472;750;—;—;—;—;5;—;—;—;.
Produkcja kosiarek ciągnikowych;szt.;—;—;—;—;—;—;—;1908;1056;2200;2868;2516;1199;1515;8130;11 655;5007;250;6003;8000;7029;4309;5000;6011;8000;10 000;13 729;13 000;13 710;13 970;13 276;12 505;9812;8650;11 037;14 644;23 877;24 535;24 341;15 517;16 772;13 561;15 889;17 679;24 223;14 987;11 671;6637;11 211;12 292;11 656;9430;7126;5093
Produkcja kosiarek konnych;szt.;—;—;—;—;—;12;1305;1330;2205;4500;7638;16 433;30 665;29 593;20 683;23 743;25 155;30 381;35 306;40 000;45 256;53 012;49 069;50 021;50 747;47 015;41 900;42 410;47 069;41 900;40 603;21 106;18 306;18 313;16 076;10 785;18 687;20 669;21 071;19 677;18 629;16 107;12 744;14 468;—;22;—;68;25;33;—;—;—;—
Produkcja snopowiązałek;szt.;—;—;—;—;—;5;248;938;1361;3329;6203;8598;8630;9055;10 755;10 324;10 106;8092;11 006;11 920;10 223;10 281;10 007;8252;7220;8001;8350;8000;7200;6000;5000;5000;6370;6500;6773;9659;9923;12 074;12 000;12 575;11 650;11 037;8000;6122;3828;900;100;3;—;—;—;—;—;.
Produkcja młocarni;szt.;10 724;15 700;8200;600;803;1252;1543;1475;2821;3338;6369;23 303;27 465;11 795;15 520;15 239;15 670;15 319;13 482;10 519;8488;8248;10 217;8756;9657;10 875;13 290;15 012;15 550;14 104;11 613;11 637;11 544;11 970;12 125;11 383;12 141;12 831;12 959;14 475;13 827;12 686;11 279;9742;809;646;6;1;—;—;—;—;—;.
Produkcja kombajnów żniwno-omłotowych;szt.;—;—;—;—;—;—;—;—;40;300;662;419;23;29;564;307;561;810;1515;1781;2024;2232;1950;2226;2155;1799;1828;2402;2909;3591;3956;4003;4301;4268;4593;4255;4533;4550;4697;5131;5407;5990;5919;6111;5019;417;306;200;304;382;539;885;642;225
Produkcja wialni;szt.;4944;9321;10 673;12 195;15 290;12 825;11 407;15 302;13 604;14 045;22 163;28 042;9488;66;4394;10 440;10 819;9616;6132;1720;2887;4624;4668;4745;5021;4290;4660;5360;6001;6662;6800;6936;6000;3000;2000;2001;2080;3150;—;—;1531;663;—;—;—;—;—;23;2;—;—;56;41;—
Produkcja kopaczek do ziemniaków ciągnikowych elewatorowych;szt.;—;—;—;—;—;—;1;380;1505;3000;3123;998;153;678;1610;3839;4974;8106;12 300;8422;6134;7466;7503;9521;11 563;13 400;15 921;17 024;18 506;17 820;16 000;15 160;11 675;18 622;18 777;16 927;20 864;20 505;20 631;20 800;21 391;21 187;19 612;16 383;4811;2528;1283;788;988;1477;1874;1366;1062;962
Produkcja kopaczek konnych do ziemniaków;szt.;922;2454;2587;2727;4068;5598;6844;8000;19 146;18 090;17 395;29 831;45 682;30 478;25 298;30 012;32 205;32 501;34 001;40 131;42 055;42 002;48 102;49 062;48 001;48 001;37 050;30 401;24 530;20 000;15 000;6307;7343;7740;7502;11 552;10 125;13 999;15 375;4245;—;—;—;—;—;—;—;—;163;589;674;381;—;—
Produkcja wyorywaczy ciągnikowych do buraków;szt.;—;—;—;—;—;15;—;19;2500;1701;350;228;—;—;1289;2000;—;—;—;—;—;10;295;340;110;—;3003;3850;4700;8923;4414;5588;5174;4722;4331;5519;7000;17 094;13 944;10 867;5511;3218;2972;4332;3584;765;283;232;566;445;1152;459;94;33
Produkcja parników;tys. szt.;.;.;.;13,8;16,5;29,7;31,3;37,8;66,8;67,4;39,9;73;90,4;122;137;89,3;64,1;110;118;99,7;104;114;126;150;164,7;198,3;248,1;400,5;249;312,9;281;49,4;151,3;188,1;209;238;258,3;279,8;281,5;276,1;171,6;87,4;128;152,4;93,9;69,2;34,6;35;39,5;29,9;41,6;41,4;33,5;32
Produkcja dojarek;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2001;1572;4411;7141;15 531;22 083;17 344;11 198;16 137;17 966;15 194;12 536;18 632;19 521;20 290;20 815;20 922;20 048;22 254;22 283;5799;1092;1;693;187;503;316;8693;11 156;11 149
Produkcja dźwigów;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;880;946;1210;1363;1313;1094;1101;1208;1577;1650;2151;2050;3030;4119;3970;4745;5252;5688;5288;4997;4993;3383;2678;2875;3577;5352;4627;3144;3596;2961;2985;2168;1163;1038;696;543;616;641;495;668
Produkcja pomp do cieczy (bez okrętowych);t;598;504;700;971;1690;2290;3523;5080;7039;8606;9634;10 522;11 167;10 386;12 181;13 278;14 667;18 085;18 516;20 563;21 898;21 290;21 158;23 076;26 953;27 079;29 732;30 854;32 437;33 445;37 057;35 559;37 274;39 344;39 649;34 550;37 545;36 688;37 863;34 717;31 079;28 846;28 626;23 878;17 936;14 712;10 299;7523;7160;7341;6307;6836;4984;4123
Produkcja maszyn do pisania;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1500;15 101;25 288;33 002;37 047;46 993;79 035;77 210;85 442;90 015;76 686;58 502;42 001;44 016;53 640;59 030;64 031;66 568;64 791;64 991;55 585;32 671;31 574;26 569;14 498;3999;3901;925;1315;227
Produkcja lokomotyw spalinowych (bez wąskotorowych);szt.;—;—;—;—;—;—;4;30;84;91;93;83;81;96;144;167;240;231;253;319;370;252;279;347;351;295;302;323;373;421;409;396;362;168;121;40;30;41;39;29;29;31;35;44;31;15;4;4;—;—;—;—;—;.
Produkcja lokomotyw elektrycznych (bez wąskotorowych);szt.;—;—;—;—;—;—;—;1;7;7;1;5;17;30;38;47;49;44;66;72;80;101;109;91;75;85;76;76;72;75;85;100;134;123;125;100;91;77;102;108;104;96;98;64;20;6;18;8;5;3;5;2;—;—
Produkcja wagonów kolejowych (bez wąskotorowych) ruchu pasażerskiego;szt.;5;102;192;194;158;280;419;511;463;591;590;575;597;604;660;653;500;531;499;477;509;543;637;552;569;533;488;528;588;543;450;420;383;320;328;286;308;350;330;350;335;301;294;230;160;83;40;48;28;7;10;6;9;5
Produkcja wagonów kolejowych (bez wąskotorowych) towarowych;szt.;5100;11 100;15 300;16 100;13 900;12 200;9000;8800;11 200;11 922;12 328;11 931;9776;13 470;13 922;13 500;15 500;15 500;15 700;16 300;16 600;12 700;12 600;14 000;15 465;16 370;16 878;16 467;17 847;18 739;20 401;18 602;17 869;15 912;15 216;9141;6371;6047;6362;6801;6924;6744;6536;4559;4154;2301;678;362;249;835;645;897;1420;1719
Produkcja wagonów kolejowych towarowych (bez wąskotorowych) w przeliczeniu na dwuosiowe;szt.;5200;11 200;15 300;16 800;16 300;14 900;13 400;12 500;15 400;16 069;16 259;16 658;13 806;17 152;17 194;18 000;22 000;22 500;22 700;24 100;25 500;22 800;23 500;26 000;28 685;30 552;31 874;31 532;30 520;32 872;31 059;36 294;35 854;32 531;31 124;18 464;12 969;12 526;13 771;14 836;15 360;14 887;14 792;10 456;9322;4588;1307;614;408;1470;1180;1371;2457;3392
Produkcja wagonów tramwajowych osobowych;szt.;—;5;23;91;140;195;174;155;150;204;221;231;300;395;376;323;97;37;63;100;128;167;200;146;138;127;144;144;132;207;226;221;220;186;220;170;50;211;214;217;204;200;200;166;138;65;41;37;34;20;13;18;32;27
Produkcja samochodów osobowych ogólnego przeznaczenia;szt.;—;—;—;—;—;75;1577;1563;1678;4015;5765;7953;11 507;13 900;12 152;13 921;15 434;17 437;19 558;24 839;27 501;26 361;38 306;47 435;64 150;85 126;89 925;113 006;133 013;164 332;216 288;278 957;325 702;349 756;351 072;239 916;228 287;269 348;278 487;282 703;289 674;293 471;293 467;285 497;266 421;166 700;218 760;334 112;337 954;366 197;440 528;520 208;592 355;647 232
FSO 1300 i 1500;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;28 635;.;.;.;.;97 909;98 924;95 928;95 932;78 310;61 629;46 336;41 312;52 712;55 696;56 233;56 842;52 412;38 681;23 109;25 675;—;—;—;—;—;—;—;—;.
Fiat 126p;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;31 527;81 629;145 014;186 636;205 064;214 432;149 497;156 382;185 548;195 025;196 989;200 640;204 505;206 444;207 917;189 682;123 876;60 969;69 527;49 983;54 923;57 849;50 043;36 556;.
Polonez;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;6;3506;21 190;32 133;20 528;18 017;26 359;27 766;29 481;32 192;36 554;48 342;54 471;51 064;34 012;75 360;69 659;86 870;69 802;63 439;47 899;30 040;.
pozostałe;szt.;—;—;—;—;—;75;1577;1563;1678;4015;5765;7953;11 507;13 900;12 152;13 921;15 434;17 437;19 558;24 839;27 501;26 361;38 306;47 435;35 515;.;.;.;.;34 896;35 735;38 009;39 628;45 192;42 878;23 555;12 576;4729;—;—;—;—;—;—;—;8812;82 431;194 926;201 101;241 472;319 240;422 266;525 759;.
Produkcja samochodów osobowych specjalizowanych;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;913;710;816;608;817;721;776;673;720;1004;1023;1002;1100;2182;8387;6505;9249;10 211;8312;7362;7271;7567;8171;5600;3241;3151;2293;2970;2868;2709;2003;2075;49;1445;1801;2467;2343;2000;1588;1082
Produkcja autobusów;szt.;—;—;—;—;—;—;20;160;306;373;643;971;670;1505;2385;2792;3226;4171;4507;5140;5584;5175;6626;7848;8967;9883;11 601;12 800;12 209;13 765;14 957;15 839;13 465;13 455;13 123;11 528;9707;9015;8334;8042;9406;10 024;10 358;9224;3856;1938;1273;1000;1048;1419;1610;1961;1888;1772
Produkcja samochodów ciężarowych i ciągników drogowych;szt.;—;—;14;245;782;2650;6458;10 349;11 556;10 456;10 758;10 098;10 333;15 000;19 815;19 488;22 757;27 412;27 103;26 924;29 852;32 648;35 444;40 582;41 011;46 306;50 368;57 689;63 514;66 510;63 724;59 727;61 261;57 124;53 674;42 689;38 176;42 933;46 903;49 114;46 088;45 550;46 834;43 853;38 956;20 100;17 657;18 811;21 356;30 662;44 159;57 254;56 080;62 719
Produkcja samochodów ciężarowych do specjalnych celów;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1109;1889;2160;2387;2297;2250;2442;2381;2421;3190;2888;3524;5429;7746;7268;7456;8236;9604;9833;7799;6996;6222;5031;5319;5376;4950;4860;5263;4608;4372;2218;1587;2363;2213;2673;3604;1070;919;779;708
Produkcja przyczep;szt.;.;.;.;1163;4694;3910;6112;6719;7707;8176;9328;13 868;18 713;17 035;24 339;28 202;31 740;34 225;35 377;39 744;34 642;40 498;47 621;50 127;53 334;55 253;59 121;55 821;63 992;49 828;63 661;72 533;71 960;62 175;54 465;48 106;44 612;50 899;46 956;48 568;48 023;45 216;43 479;53 672;39 775;29 228;25 845;17 175;23 785;17 156;30 513;26 454;28 263;34 658
Produkcja ciągników uniwersalnych rolniczych (dwuosiowych);szt.;—;152;1201;2513;4018;4151;6004;6900;7808;8052;8510;6858;4354;3043;7675;10 560;12 625;16 958;19 160;20 622;21 565;28 625;29 876;36 638;38 693;41 152;45 029;49 596;55 038;57 553;58 805;59 078;59 509;54 231;57 549;50 531;53 029;55 532;58 794;59 017;61 502;59 207;58 277;48 012;35 408;17 482;7956;11 481;15 277;21 502;25 119;22 813;14 963;8548
Produkcja motocykli;szt.;—;100;2100;4200;14 800;17 800;5700;13 700;19 800;30 147;45 524;62 193;84 944;102 878;121 937;131 000;142 000;150 000;148 000;144 000;144 000;119 000;106 000;115 000;95 156;79 071;63 301;91 268;105 343;94 629;86 756;92 008;96 679;95 004;94 174;79 213;56 874;55 008;48 000;35 544;—;—;3052;6922;2624;453;—;—;—;—;—;—;—;—
Produkcja motorowerów;szt.;—;—;—;—;—;—;—;—;—;—;—;—;2632;13 273;25 363;32 478;42 883;47 806;40 710;61 448;75 073;60 457;71 813;85 473;85 136;97 523;126 296;141 093;155 849;182 150;199 301;203 165;180 000;124 119;125 518;104 885;93 053;106 656;106 821;107 100;113 040;117 055;105 962;93 882;15 276;6575;1347;1604;1368;945;311;121;11;53
Produkcja rowerów;szt.;34 200;79 300;75 000;91 100;99 000;110 000;109 600;139 600;171 200;225 800;269 800;295 200;371 500;507 500;626 600;592 800;704 000;662 000;683 000;771 000;749 100;766 800;845 000;889 000;903 205;1 006 338;1 071 060;1 124 185;1 205 328;1 294 770;1 468 967;1 573 374;1 625 480;1 690 978;1 637 089;1 323 133;1 192 026;1 171 840;1 313 635;1 401 525;1 430 548;1 442 240;1 486 129;1 521 917;1 338 551;971 189;814 033;744 927;973 069;1 089 864;1 131 547;1 224 845;1 198 029;1 352 317
dziecięcych;szt.;—;—;—;—;—;—;8600;8600;32 200;59 100;84 900;67 300;61 800;112 200;130 500;92 800;102 000;114 000;136 000;149 000;66 100;97 800;117 000;124 000;133 761;185 809;197 479;169 369;208 590;219 678;258 593;278 559;353 434;397 089;386 986;341 548;337 666;323 463;398 450;448 230;463 070;538 884;356 335;389 927;341 285;234 975;200 148;208 117;317 975;436 710;436 090;488 101;423 385;441 467
pozostałych;szt.;34 200;79 300;75 000;91 100;99 000;110 000;101 000;131 000;139 000;166 700;184 900;227 900;309 700;395 300;496 100;500 000;602 000;548 000;547 000;622 000;683 000;669 000;728 000;765 000;769 444;820 529;873 581;954 816;996 738;1 075 092;1 210 374;1 294 815;1 272 046;1 293 889;1 250 103;981 585;854 360;848 377;915 185;953 295;967 478;903 356;1 129 794;1 131 990;997 266;736 214;613 885;536 810;655 094;653 154;695 457;736 744;774 644;910 850
Produkcja wózków dziecięcych;tys. szt.;.;.;.;.;.;.;.;.;.;229;257;244;265;290;257;211;214;197;200;199;169;158;204;221;163;171;240;255;263;275;289;324;362;364;360;296;303;433;338;289;237;187;175;172;89;77;10;51;84;80;115;259;284;200
Produkcja statków morskich wodowanych (od 100 DWT);szt.;.;.;.;.;20;.;.;.;.;59;.;.;.;.;71;.;.;.;.;53;52;65;58;58;57;56;74;78;74;76;88;61;61;68;58;41;31;33;48;38;37;40;41;34;39;28;26;23;23;29;31;32;30;33
Produkcja statków morskich wodowanych (od 100 DWT);DWT;.;.;.;.;16 900;.;.;.;.;110 100;.;.;.;.;275 629;.;.;.;.;376 700;432 600;437 500;444 000;460 900;577 500;642 000;753 500;671 700;881 700;691 300;746 000;764 200;772 300;599 200;442 700;419 300;617 150;574 055;385 115;408 877;207 263;226 598;234 679;137 887;226 940;328 902;464 233;612 548;537 900;551 067;843 626;806 288;836 746;783 836
Produkcja statków morskich wodowanych (od 100 DWT);BRT;.;.;.;.;14 100;.;.;.;.;973 000;.;.;.;.;223 573;.;.;.;.;315 900;380 200;384 898;388 800;404 000;464 060;482 000;580 700;552 500;638 000;526 600;588 600;588 600;589 700;484 200;384 600;361 100;413 600;416 032;302 005;307 833;194 502;232 806;254 599;138 897;219 043;278 741;336 504;442 592;430 710;437 891;594 423;594 524;611 425;652 965
Produkcja statków morskich oddanych do eksploatacji (od 100 DWT);szt.;—;—;—;2;3;8;36;52;43;61;59;58;60;52;72;57;57;49;49;55;51;62;63;59;57;56;68;77;79;83;81;76;59;67;61;38;34;34;43;41;42;41;35;35;35;25;30;26;28;33;37;36;34;33
produkcja taboru transportu morskiego;szt.;—;—;—;.;3;.;.;.;.;31;.;.;.;.;45;40;39;36;33;31;35;43;33;26;31;38;40;47;42;38;40;40;37;33;24;18;19;14;15;14;18;12;15;15;8;14;22;23;27;33;34;34;33;33
produkcja taboru rybołówstwa morskiego;szt.;—;—;—;.;—;.;.;.;.;30;.;.;.;.;27;17;18;13;16;24;16;19;27;30;21;13;26;26;34;40;38;34;22;34;33;19;12;6;14;9;8;13;10;9;18;8;7;2;1;—;2;2;1;1
Produkcja statków morskich oddanych do eksploatacji (od 100 DWT);DWT;—;—;—;5100;7600;4800;42 600;66 000;77 400;103 300;120 000;147 000;175 000;187 000;255 900;218 000;290 000;298 000;297 000;359 000;391 600;457 400;479 000;453 900;518 350;599 375;700 775;742 135;677 980;1 023 350;784 680;791 180;742 000;602 250;392 150;321 800;358 250;535 277;484 843;343 242;536 516;327 312;223 524;282 872;133 529;207 738;431 187;593 792;781 446;602 551;859 994;728 349;914 810;740 904
produkcja taboru transportu morskiego;DWT;—;—;—;.;7600;.;.;.;.;92 300,0;.;.;.;.;206 700,0;188 000,0;268 000,0;277 000,0;256 000,0;303 600,0;336 800,0;398 300,0;385 300,0;364 400,0;430 250,0;527 075,0;631 575,0;671 535,0;611 400,0;930 900,0;733 670,0;766 400,0;732 000,0;550 400,0;335 750,0;273 150,0;345 400,0;514 310,0;463 410,0;323 710,0;522 790,0;305 400,0;203 900,0;242 019,0;86 730,0;202 606,0;426 049,0;589 605,0;780 289,0;602 551,0;853 441,0;728 034,0;914 523,0;783 836,0
produkcja taboru rybołówstwa morskiego;DWT;—;—;—;.;—;.;.;.;.;11 000,0;.;.;.;.;49 200,0;30 000,0;22 000,0;21 000,0;41 000,0;55 400,0;54 800,0;59 100,0;93 691,0;89 491,0;68 700,0;51 300,0;57 700,0;58 800,0;60 240,0;84 110,0;39 010,0;22 780,0;10 000,0;51 850,0;53 500,0;46 850,0;10 100,0;4300;8365;2700;1044;7030;8484;4390;8797;3577;3838;2887;1157;—;303;315;287;36
Produkcja statków morskich oddanych do eksploatacji (od 100 DWT);BRT;—;—;—;3900;5900;4200;36 600;57 700;66 100;93 100;105 000;123 000;146 000;152 000;212 000;181 000;224 000;228 000;235 000;288 300;347 100;394 000;419 000;399 000;433 680;472 945;531 535;593 574;546 930;721 670;592 797;607 502;591 590;469 930;358 770;276 760;298 450;354 375;342 850;262 841;390 727;303 303;227 445;246 351;140 166;187 541;326 259;414 193;553 606;534 117;609 223;543 253;671 290;614 393
produkcja taboru transportu morskiego;BRT;—;—;—;.;5900;.;.;.;.;76 000,0;.;.;.;.;145 600,0;137 100,0;191 900,0;196 300,0;185 300,0;217 000,0;261 000,0;301 000,0;287 000,0;269 000,0;310 420,0;377 665,0;434 923,0;493 321,0;443 300,0;586 000,0;521 047,0;566 897,0;575 950,0;392 750,0;275 350,0;206 750,0;273 200,0;317 845,0;300 970,0;224 384,0;359 727,0;256 948,0;188 707,0;197 092,0;83 737,0;175 699,0;315 359,0;405 727,0;551 246,0;534 117,0;604 546,0;542 434,0;670 933,0;641 412,0
produkcja taboru rybołówstwa morskiego;BRT;—;—;—;.;—;.;.;.;.;17 100;.;.;.;.;66 400;43 900;32 100;31 700;49 700;71 300;86 100;93 000;132 000;130 000;106 030;77 080;86 822;90 800;98 550;129 390;58 710;39 405;15 640;77 180;79 840;65 060;17 100;7180;14 548;5033;2033;11 479;12 948;8172;16 544;6308;8528;5736;2360;—;806;819;357;19
Produkcja taboru transportu wodnego śródlądowego;szt.;.;.;.;.;—;.;.;.;.;26;.;.;.;.;84;114;124;130;161;173;144;158;183;178;238;220;199;187;226;250;456;198;206;124;135;106;74;145;267;276;313;223;218;201;133;62;52;40;45;21;5;20;538;949
Produkcja jednostek sportowo-turystycznych pełnomorskich;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;185;121;102;97;145;129;120;63;37;12;4;3;—;1;27;29;79;113
Produkcja maszyn elektrycznych wirujących;tys. szt.;8,7;14,8;26,1;51,8;76,5;82,8;116;158;176;200,9;261,4;409,5;592,4;849,7;1107,8;1231;1353;1635;2033;2074,4;2223,2;2650,8;2787,4;3246,3;3668,2;4563,8;5677,4;6322,9;8134;10 453,5;10 629,6;12 311,8;13 418,7;13 388,1;12 334,6;11 486,9;10 835,6;11 675,7;12 153,9;12 504,7;12 713,6;12 542,7;13 194,4;12 581,3;10 433,8;6746,7;4918,1;5680,2;5632,3;5535,1;5633;5224,7;4649,3;4981
silników asynchronicznych trójfazowych;tys. szt.;.;.;25;49;74,4;79,3;93,6;121;135;147,5;212,2;259;269,9;305,7;354;419;474;526;546;605,7;577;580,6;656,3;758,8;868;993,4;1067,8;1169,3;1387,7;1493,1;1528;1560,9;1501,1;1440,4;1366,2;1204;1098,3;1087,6;1050,6;1038,2;1054,1;1051,2;1058,7;1080,7;880,8;538,1;424,7;500;600,8;614,4;615,4;664,2;673,2;626,6
pozostałych;tys. szt.;.;.;1,1;2,8;2,1;3,5;22,4;37;41;53,4;49,2;150,5;322,5;544;753,8;812;879;1109;1487;1468,7;1646,2;2070,2;2131,1;2487,5;2800,2;3570,4;4609,6;5153,6;6746,3;8960,4;9101,6;10 750,9;11 917,6;11 947,7;10 968,4;10 282,9;9737,3;10 588,1;11 103,3;11 466,5;11 659,5;11 491,5;12 135,7;11 500,6;9553;6208,6;4493,4;5180,2;5031,5;4920,7;5017,6;4560,5;3976,1;4354,4
Produkcja maszyn elektrycznych wirujących;MW;.;112;192;250;391;604;844;954;1108;1222;1446;1488;1655;1987;2362;2861;3351;3775;4246;4486;4468;4886;5593;6399;7429;7393;8489;9387;10 236;11 020;10 969;10 987;11 096;10 621;9864;9297;9012;8830;8832;8878;9142;9065;9022;8325;6489;5154;4901;4449;4265;6599;5860;7091;6441;7872
silników asynchronicznych trójfazowych;MW;.;.;183;246;372;575;753;916;1041;1111;1239;1265;1446;1659;1755;2006;2367;2669;2857;3199;3028;3236;3501;4084;4813;5114;5534;6165;6741;7248;7375;6778;7572;7434;6986;6213;5786;5669;5757;6093;6241;6002;6898;5647;4748;3461;1915;2380;2556;2826;2648;2747;2453;2449
pozostałych;MW;.;.;9;4;19;29;91;38;67;111;207;223;209;328;607;855;984;1106;1389;1287;1440;1650;2092;2315;2616;2279;2955;3222;3495;3772;3594;4209;3524;3187;2878;3084;3226;3161;3075;2785;2901;3063;2124;2678;1741;1693;2986;2069;1709;3773;3212;4344;3988;5423
Produkcja transformatorów o mocy powyżej 20 kVA;szt.;566;1447;1974;2689;2722;2909;3156;3142;4014;4536;5634;5918;6815;6760;8375;9976;10 774;10 930;10 973;13 565;14 240;14 179;13 853;15 367;15 451;17 027;16 010;14 879;20 451;20 516;21 056;20 820;19 055;18 242;17 326;15 095;17 297;17 913;17 343;17 326;14 599;15 733;16 395;14 534;10 810;9454;7127;8108;5626;5748;6615;6100;5355;5560
Produkcja transformatorów o mocy powyżej 20 kVA;MVA;161;411;590;765;916;1513;1560;1985;2157;2234;2146;2038;2136;2497;3025;3321;3718;4443;4970;5427;5180;6331;7562;8486;8423;10 058;10 570;10 818;13 127;13 863;13 140;14 847;13 855;13 779;13 424;11 449;10 860;9969;9251;9508;10 133;10 232;8707;9344;6685;7421;4569;4228;3410;2759;5219;5657;5752;4113
Produkcja kabli i przewodów (łącznie z kablami silnoprądowymi);t;.;.;.;27 759;34 060;37 837;39 879;46 344;56 790;56 808;60 358;67 861;72 315;77 093;87 735;92 687;102 655;111 566;117 151;127 483;127 043;133 771;144 486;150 159;153 283;166 714;198 139;217 314;239 339;256 417;254 673;261 510;281 400;275 561;261 336;180 824;165 215;195 150;217 822;235 780;238 126;265 739;251 627;255 241;200 948;186 738;173 615;177 480;162 364;196 858;221 259;240 921;262 997;288 282
przewodów gołych;t;3207;5270;4275;5716;8408;7787;7294;9355;12 253;11 536;12 912;13 514;14 298;16 159;18 082;17 073;19 715;23 385;23 730;27 386;30 938;31 148;31 641;30 745;34 707;36 175;46 861;51 529;53 901;59 199;63 499;64 500;64 575;58 475;58 124;40 371;45 022;47 112;54 445;59 208;56 865;54 531;52 736;49 256;30 918;23 941;27 448;21 445;14 691;17 665;20 227;23 070;26 843;32 952
przewodów nawojowych;t;878;1443;1260;1665;2155;2149;2049;2579;3316;3806;4297;4724;5735;6279;7613;8749;10 011;10 531;10 595;11 773;12 786;13 196;13 511;14 933;15 782;19 817;23 585;25 763;28 774;30 814;29 237;29 741;31 928;32 988;31 825;25 785;22 377;25 548;26 615;27 248;27 984;27 219;27 647;27 913;19 822;12 121;12 305;12 373;14 827;17 969;14 485;15 738;15 261;13 699
