﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja wędlin (bez końskich, drobiowych, z dziczyzny i królików);t;.;.;.;101 500;204 400;182 500;141 900;200 000;207 100;215 100;265 200;296 400;334 900;324 000;313 800;361 300;380 200;381 600;391 400;430 200;472 500;491 000;503 700;520 800;528 014;595 550;671 885;717 447;746 736;780 492;795 497;803 338;799 131;815 659;810 932;660 612;672 354;666 151;637 566;692 491;753 381;777 220;799 059;766 625;714 030;676 229;668 928;675 521;702 887;756 001;845 070;944 535;887 680;873 163
Produkcja ryb morskich (połów);tys. t;23,3;39,5;48,2;59,3;66,2;72,5;86,8;89,4;100;107,1;122,5;125,6;126,7;146;168;169,3;164;209,7;244,4;280,1;316,5;321,4;385,5;386,9;451,3;488,4;526,4;594,4;652,3;679;700,9;733,2;666,2;803,4;791;642,3;581,7;715,1;679,4;650,5;608,3;638,6;589,7;531,1;429,7;410,4;447,6;359,8;414,3;396,3;.;.;.;.
Produkcja ryb i przetworów rybnych wędzonych;t;.;6912;7879;8978;9381;11 119;12 543;9244;11 416;11 330;11 343;11 300;12 518;14 397;15 991;16 998;17 705;18 524;20 239;23 859;21 830;20 555;21 190;24 423;30 134;39 029;46 413;41 592;40 783;33 980;36 971;30 658;27 299;27 375;27 746;27 346;23 276;25 784;27 843;24 738;23 349;25 308;24 841;19 473;14 139;10 406;12 823;14 912;18 033;19 854;19 396;22 692;23 183;24 814
Produkcja konserw, prezerw z ryb oraz innych surowców z połowów;t;.;1519;1882;4677;4661;5683;6248;4537;5236;6403;7829;9995;11 810;14 107;15 701;16 199;18 119;20 743;22 432;24 394;23 875;23 779;25 224;27 001;29 639;32 418;35 525;36 949;40 892;43 693;46 972;49 738;47 982;48 565;45 987;32 074;19 948;30 276;30 765;31 116;31 672;32 536;31 993;31 239;22 455;29 722;34 368;30 372;43 470;41 720;52 499;58 767;56 624;46 965
Produkcja marynat z ryb, innych zwierząt wodnych oraz przetworów z nich;t;.;.;.;900;1615;2235;3567;3711;5266;6504;6000;5679;6476;6049;5972;6156;6999;6706;7210;7757;8739;11 279;11 782;14 883;15 837;18 727;23 213;25 439;27 000;25 258;29 204;31 540;29 890;33 360;37 117;34 794;34 136;30 851;27 080;25 634;22 083;18 544;17 004;14 701;13 092;18 302;26 957;20 158;31 798;43 179;42 579;50 312;51 038;55 001
Produkcja mleka spożywczego normalizowanego;tys. hl;.;.;.;3390;4580;5330;5880;6340;6700;7200;7464;8001;8530;9176;9654;10 300,0;11 151,0;11 791,0;11 841,0;11 847,0;12 163,0;12 765,0;13 427,0;14 158,0;15 008,1;16 082,4;17 290,1;18 199,1;19 472,6;21 019,0;21 818,8;22 763,2;24 437,8;25 966,0;26 799,0;29 245,7;28 079,6;25 956,7;25 531,5;25 632,0;25 140,2;25 083,0;25 768,9;25 982,5;20 365,9;14 051,1;12 338,7;11 809,7;12 647,4;12 605,7;13 561,2;13 397,1;13 503,6;13 101,0
Produkcja mleka i śmietanki w proszku;t;.;.;.;285;609;1756;3575;3579;3876;4185;5101;6551;6487;7089;7190;8450;10 280;12 840;17 685;19 863;23 980;29 787;33 380;32 669;34 706;36 266;46 111;56 246;79 547;104 342;125 817;132 305;130 888;121 418;133 799;120 237;137 813;193 101;213 991;207 237;208 839;204 068;208 835;225 536;216 451;212 664;181 649;194 610;151 372;165 622;156 675;161 108;170 822;144 628
Mleko i serwatka zagęszczone;t;.;.;.;.;.;.;.;.;.;173;251;349;1414;2724;3174;4413;4988;4597;3883;4006;4283;4240;4672;4835;5194;5104;8213;11 103;11 245;13 514;15 282;16 743;18 447;20 705;20 956;14 774;12 346;17 675;16 033;20 663;18 194;18 562;20 409;21 413;14 083;12 386;12 733;12 615;13 041;14 827;14 683;19 026;20 963;21 507
Produkcja serów tłustych;t;.;2300;2900;3174;4430;6438;5029;4596;6631;7151;7923;12 194;14 585;15 826;16 897;16 235;18 807;17 754;23 355;26 429;30 713;34 354;36 728;41 172;42 209;44 960;52 946;62 398;72 460;82 439;93 038;94 433;92 735;91 533;93 415;88 463;95 157;105 581;113 586;111 668;110 703;115 537;119 436;117 569;114 598;102 142;93 045;105 448;117 128;108 516;121 880;137 461;129 651;127 680
Produkcja serów twarogowych niedojrzewających;t;.;.;.;.;.;.;.;.;.;9711;10 708;13 532;20 175;25 467;26 426;27 164;31 521;31 840;36 402;39 236;43 663;51 198;56 890;63 727;68 958;75 756;91 456;107 560;125 824;129 606;148 021;158 409;174 329;177 384;204 361;248 771;181 517;198 593;226 227;250 186;271 505;300 559;312 825;295 146;185 848;163 649;164 777;168 486;185 864;197 177;216 378;236 741;260 443;270 812
