﻿Wskaźnik;Jednostka;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Parki spacerowo-wypoczynkowe w miastach (stan w dniu 31 XII);obiekt;.;.;.;.;.;1082;1109;1130;1150;1162;1180;1191;1202;1204;1297;1374;1353;1354;1377;1397;1401;1395;1410;1411;1403;1410;1415;1397;1397;.;.;.;.;.;1496;1496;1482;1499;1523
Powierzchnia zieleni w miastach (stan w dniu 31 XII);ha;14 384;.;.;.;.;16 382;16 775;17 099;17 349;17 778;18 050;18 007;18 177;18 566;19 784;20 704;21 364;22 281;23 323;23 954;24 368;24 583;24 815;24 971;25 375;25 491;25 484;25 904;26 062;.;.;.;.;.;41 133;42 291;49 516;48 282;59 170
parki spacerowo-wypoczynkowe;ha;9412;.;.;.;.;9847;10 106;10 413;10 568;10 753;10 927;11 028;11 194;11 091;11 932;12 361;12 494;12 889;13 390;13 639;13 687;13 752;13 815;13 794;13 852;13 913;13 956;14 265;14 356;.;.;.;.;.;14 469;15 336;15 779;15 547;15 894
zieleńce;ha;4972;5597;5944;6539;.;6535;6669;6686;6781;7025;7123;6979;6983;7475;7852;8343;8870;9392;9933;10 315;10 681;10 831;11 000;11 177;11 523;11 578;11 528;11 639;11 706;.;.;.;.;.;9560;6328;6471;6728;6609
zieleń osiedlowa;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17 104;20 627;27 266;26 007;36 667
Powierzchnia lasów gminnych (mienie komunalne stan w dniu 31 XII);ha;26 323;26 276;27 219;.;.;28 976;28 212;28 991;29 326;29 438;29 251;29 639;29 715;29 231;29 735;31 331;29 952;29 424;28 698;28 750;29 294;28 942;28 548;30 583;31 816;31 587;30 967;31 058;30 691;.;.;.;.;.;30 706;30 988;31 411;29 650;30 074
