﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Pozyskanie (drewna) grubizny;m3;11 300 000;10 400 000;11 100 000;12 100 400;13 704 200;13 635 400;16 511 800;17 146 100;16 663 500;17 884 900;18 728 300;17 939 400;16 517 500;15 995 400;15 894 800;15 889 300;16 059 800;17 337 300;17 136 300;16 413 000;17 198 600;17 379 100;18 512 400;17 659 200;18 472 900;18 319 387;18 796 600;20 080 800;21 541 800;21 819 800;21 595 800;22 107 552;21 529 946;20 338 300;20 822 221;20 534 000;21 973 000;24 533 000;23 815 000;23 184 000;24 141 000;23 145 000;22 695 000;21 254 000;17 617 038;17 025 779;20 637 906;20 255 610;20 122 563;20 650 524;20 287 132;21 635 169;23 106 601
drewna iglastego;m3;.;.;.;11 100 400;12 542 200;12 335 400;15 111 800;15 646 100;15 063 500;16 182 700;16 649 400;15 714 500;14 279 800;13 992 200;13 558 100;13 904 400;13 795 000;13 785 600;14 250 500;13 871 000;14 363 500;14 378 800;15 247 700;14 469 100;15 251 500;14 909 904;15 447 900;16 544 500;17 636 400;17 705 400;17 440 400;17 947 748;17 348 660;16 450 700;16 787 713;16 862 000;18 735 000;21 324 000;20 478 000;19 358 000;19 628 000;18 434 000;17 698 000;16 357 000;13 773 580;12 691 418;15 398 754;15 390 005;14 974 707;15 364 415;14 980 371;15 946 555;16 856 921
drewna liściastego;m3;.;.;.;1 000 000;1 162 000;1 300 000;1 400 000;1 500 000;1 600 000;1 702 200;2 078 900;2 224 900;2 237 700;2 003 200;2 336 700;2 428 200;2 637 700;2 731 500;2 822 000;2 542 000;2 835 100;3 000 300;3 264 700;3 190 100;3 221 400;3 409 483;3 348 700;3 536 300;3 905 400;4 114 400;4 155 400;4 159 804;4 181 286;3 887 600;4 034 508;3 672 000;3 238 000;3 209 000;3 337 000;3 826 000;4 513 000;4 711 000;4 997 000;4 897 000;3 843 458;4 334 361;5 239 152;4 865 605;5 147 856;5 286 109;5 306 761;5 688 614;6 249 680
w lasach publicznych;m3;.;.;.;11 399 600;13 042 700;13 234 800;16 121 000;16 698 600;16 136 700;17 293 700;18 071 200;17 134 400;15 743 700;15 232 800;15 093 100;15 020 700;15 089 800;16 400 600;16 132 700;15 261 900;16 188 600;16 307 100;17 339 600;16 543 400;17 400 200;17 247 242;17 720 300;18 933 200;20 030 700;20 261 500;20 137 400;20 683 718;20 194 576;19 062 200;19 528 909;19 386 000;20 706 000;23 255 000;22 541 000;21 976 000;22 715 000;21 601 000;20 958 000;19 635 000;16 272 025;15 919 182;19 435 998;18 931 303;18 716 165;19 180 808;18 989 004;20 308 362;21 885 740
w lasach prywatnych;m3;.;.;.;700 800;661 500;400 600;390 800;447 500;526 800;591 200;657 100;805 000;773 800;762 600;801 700;868 600;970 000;936 700;1 003 600;1 151 100;1 010 000;1 072 000;1 172 800;1 115 800;1 072 700;1 072 145;1 076 300;1 147 600;1 511 100;1 558 300;1 458 400;1 423 834;1 335 370;1 276 100;1 293 312;1 148 000;1 267 000;1 278 000;1 274 000;1 208 000;1 426 000;1 544 000;1 737 000;1 619 000;1 345 013;1 106 597;1 201 908;1 324 307;1 406 398;1 469 716;1 298 128;1 326 807;1 220 861
