﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Powierzchnia lasów (stan w dniu 31 XII);ha;6 469 700,0;6 600 000,0;6 700 000,0;6 762 911,0;6 914 878,0;7 009 616,0;7 164 176,0;7 265 937,0;7 377 770,0;7 402 544,0;7 410 187,0;7 467 380,0;7 536 135,0;7 595 105,0;7 683 991,0;7 731 014,0;7 807 675,0;7 902 619,0;8 012 011,0;8 093 469,0;8 164 553,0;8 263 695,0;8 313 936,0;8 385 201,0;8 431 649,0;8 460 768,0;8 483 350,0;8 517 925,0;8 538 671,0;8 550 755,0;8 568 422,0;8 576 971,0;8 587 906,0;8 606 013,0;8 622 303,0;8 633 147,0;8 636 011,0;8 638 500,0;8 644 716,0;8 653 843,0;8 665 352,0;8 668 023,0;8 671 652,0;8 678 464,0;8 693 885,0;8 706 348,0;8 718 210,0;8 720 440,0;8 732 162,0;8 756 148,0;8 779 239,0;8 801 692,0;8 813 106,0
publicznych;ha;5 727 800,0;.;.;5 794 602,0;5 888 314,0;5 945 110,0;6 022 915,0;6 096 674,0;6 171 869,0;6 180 927,0;6 174 416,0;6 213 914,0;6 245 737,0;6 272 262,0;6 331 325,0;6 382 043,0;6 426 061,0;6 481 342,0;6 545 535,0;6 597 091,0;6 644 577,0;6 713 667,0;6 739 959,0;6 774 482,0;6 800 765,0;6 823 272,0;6 835 023,0;6 863 373,0;6 887 481,0;6 917 882,0;6 958 764,0;6 987 886,0;7 014 859,0;7 040 782,0;7 067 129,0;7 082 228,0;7 095 821,0;7 103 778,0;7 109 792,0;7 117 976,0;7 133 596,0;7 144 914,0;7 153 290,0;7 161 855,0;7 218 862,0;7 228 616,0;7 228 121,0;7 228 875,0;7 239 631,0;7 262 250,0;7 282 634,0;7 297 752,0;7 304 509,0
prywatnych;ha;741 900,0;.;.;968 309,0;1 026 564,0;1 064 506,0;1 141 261,0;1 169 263,0;1 205 901,0;1 221 617,0;1 235 771,0;1 253 466,0;1 290 398,0;1 322 843,0;1 352 666,0;1 348 971,0;1 381 614,0;1 421 277,0;1 466 476,0;1 496 378,0;1 519 976,0;1 550 028,0;1 573 977,0;1 610 719,0;1 630 884,0;1 637 496,0;1 648 327,0;1 654 552,0;1 651 190,0;1 632 873,0;1 609 658,0;1 589 085,0;1 573 047,0;1 565 231,0;1 555 174,0;1 550 919,0;1 540 190,0;1 534 722,0;1 534 924,0;1 535 867,0;1 531 756,0;1 523 109,0;1 518 362,0;1 516 609,0;1 475 023,0;1 477 732,0;1 490 089,0;1 491 565,0;1 492 531,0;1 493 898,0;1 496 605,0;1 503 940,0;1 508 597,0
Lesistość;%;20,8;21,1;21,4;21,7;22,2;22,5;22,8;23,2;23,6;23,7;23,7;23,9;24,1;24,3;24,6;24,7;25;25,3;25,6;25,9;26,1;26,4;26,6;26,8;27;27,1;27,1;27,2;27,3;27,3;27,4;27,4;27,5;27,5;27,6;27,6;27,6;27,6;27,6;27,7;27,7;27,7;27,7;27,8;27,8;27,8;27,9;27,9;27,9;28;28,1;28,1;28,2
