﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
blach o grubości od 4,75 do 3 mm;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;390,7;389,8;407,8;443,6;463;885,4;904,3;872,3;885,2;912,6;972,4;830,2;837,2;782,3;911,7;896,4;926;916,8;912,1;835;624,1;455,7;480,5;537,6;607,7;690,8;632;760,5;663,7;647,2
blach o grubości poniżej 3 mm;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1011,8;1057,7;1116;1096;1063,5;839,7;922,4;940,9;920,9;937,8;1045,6;820,6;767,3;872,9;897,9;861,1;899,3;927,2;920,6;854,6;699,3;492,4;538,7;576,9;617,4;696,5;615,6;632,1;531;527,5
pozostałe;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5486,7;5965,4;6302,5;6710,1;7074;7247,8;7637;7993,7;9494,4;9520,7;9459,4;7821,2;7382,8;8404,1;8608,5;8421,4;8729,9;8856;8786,5;8067,8;7249,4;6168,4;5703,5;5658,6;6338,1;6378,8;6200,3;6721,8;5726,6;4905,2
ze stali klasy 4-9;tys. t;.;.;.;.;.;.;.;.;.;317;343,5;368,4;368,3;387,7;430,6;496,6;556,6;628,3;688,4;749,4;810,1;920,9;995,4;1068,8;1193,2;1360,7;1465,3;1531,9;1612,5;1615;1757,4;1761,7;1907,1;1856,7;1814,6;1620,2;1467,9;1656,7;1602,1;1622,7;1726,3;1746,6;1741,9;1449,3;1278,1;950,1;880,8;727,7;1138;1113,8;915;948,6;971,8;843,4
ze stali klasy 1-3;tys. t;.;.;.;.;.;.;.;.;.;2607,5;2963,9;3211,6;3332,3;3672,9;3991,2;4327,5;4681,9;4828,8;5020,5;5380,3;5767,8;6033,2;6331,2;6585,9;6942,7;7361,6;7749,9;8335,1;8945,2;9469,8;9743,3;10 187,5;11 658,1;11 715,3;11 736,9;9443,6;9009,4;10 074,0;10 593,3;10 221,9;10 613,5;10 663,8;10 682,2;9822,7;8557,5;7086,3;6669;6758,5;7456,8;7854,6;7614;8339,6;7015,3;6147,9
Produkcja rur stalowych;tys. t;55,1;74,3;92,3;107;121;145;165;198;216;237,1;279,4;298,6;312,5;332,6;365,6;403,6;450;473,8;501,2;507,9;544,5;602,1;638,1;662,2;723,4;847,1;933;1011,5;1101,2;1146,1;1134,5;1183,8;1163,8;1150,5;1133,5;1041,5;940,4;994,9;1009,7;992;1027,2;1037,8;1053,4;971,3;566,5;519,4;519,8;488,5;503,3;576,2;531,9;538,4;500,3;484
bez szwu;tys. t;.;.;.;.;.;.;.;.;.;178,5;216,6;225,2;236,9;247,8;266,8;261,5;278,2;287,2;293,9;297,1;317,1;363,2;375,2;369,7;376,7;420,5;426,4;469,5;493;505;491,4;520,5;517,8;509,2;498,2;460,7;423,1;448,5;455,4;410,4;452,7;462,4;484,9;451,7;299,5;252,8;246,9;229,8;233,6;253,8;255,7;246,8;219,1;191,9
ze szwem;tys. t;.;.;.;.;.;.;.;.;.;58,6;62,8;73,4;75,6;84,8;98,8;142,1;171,8;186,6;207,3;210,8;227,4;238,9;262,9;292,5;346,7;426,6;506,6;542;608,2;641,1;643,1;663,3;646;641,3;635,3;580,8;517,3;546,4;554,3;581,6;574,5;575,4;568,5;519,6;267;266,6;272,9;250,1;258,7;307,3;255,3;269,3;256,1;257,5
Produkcja blach stalowych walcowanych na zimno;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;267,6;411,1;471,6;506,1;544;584,2;609,1;642,6;664,6;689,9;723,2;769,1;807,9;838,4;854,3;1009,8;1195,8;1258,5;1263;1309,2;1593,9;1384,8;1338,7;1389,5;1457,1;1466,8;1543,5;1554,2;1530;1467,2;1046,6;739,1;755,6;816,2;924,7;1073,3;1006,7;1095,1;939,1;889,3
o grubości poniżej 3 mm;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;267,6;411,1;471,6;506,1;544;584,2;609,1;642,6;664,6;689,9;719,1;764,1;803,5;833,6;847,1;1005,8;1188,5;1231,2;1219,3;1258,3;1541,9;1334,5;1288,3;1335,6;1403,2;1413,6;1488,8;1500;1474,5;1411,2;998,4;701,7;718,5;775,1;884,3;1023,3;958,7;1046,8;892;846,8
