﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Odnowienia i zalesienia;ha;42 000;62 000;88 000;294 000;193 000;173 600;151 000;150 900;139 300;140 300;148 100;150 900;154 300;165 900;172 356;159 819;150 280;148 522;147 973;143 094;142 912;134 373;124 734;124 252;114 947;104 305;103 517;107 140;108 063;103 630;96 749;99 128;103 289;101 984;95 265;69 452;60 559;61 171;68 627;70 789;74 161;71 804;73 236;74 339;66 835;64 025;59 184;64 791;70 071;77 844;68 388;59 112;60 262
w lasach publicznych;ha;.;.;.;.;168 400;149 100;130 500;130 000;117 100;112 400;117 700;121 200;118 200;127 700;130 680;122 157;108 120;107 192;104 321;101 238;105 068;99 040;93 506;96 474;87 797;80 624;80 438;84 783;84 289;78 586;72 373;72 813;74 221;75 471;71 315;54 103;47 023;48 353;54 988;58 046;62 621;60 715;61 868;63 034;57 639;55 615;52 335;59 867;64 048;71 035;59 240;46 435;50 807
w lasach prywatnych;ha;.;.;.;.;24 600;24 500;20 500;20 900;22 200;27 900;30 400;29 700;36 100;38 200;41 676;37 662;42 160;41 330;43 652;41 856;37 844;35 333;31 228;27 778;27 150;23 681;23 079;22 357;23 774;25 044;24 376;26 315;29 068;26 513;23 950;15 349;13 536;12 818;13 639;12 743;11 540;11 089;11 368;11 305;9196;8410;6849;4924;6023;6809;9148;12 677;9455
