﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja mas półchemicznych;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2,1;1,9;2;1,3;—;1,5;11,9;17,7;19,6;20,4;19,8;19,9;19,6;27,8;21,7;20,1;16,3;34,1;53;51,3;69,4;59;58,4;63,2;68,9;69,8;71;76;98,1;103,6;85,6;86,4;90,2;92,9;99,6;96,3;87,6;78,1;74,8;84,9
Produkcja celulozy;tys. t;55,8;95,4;115,8;124,7;133;149,9;170,4;179,9;190,2;213,5;222,2;224,6;236,1;259,4;291,4;309,5;323,4;327,5;332,6;348,3;398,4;426,6;460,8;464,3;470,4;478,7;534,3;590,5;600,7;539;607,8;588,2;541,2;494,2;526,1;465,3;555,8;608;608,2;595,4;614,1;623,7;622,7;581,8;522,6;508,8;566,6;597,1;644,4;671,2;687,7;706,7;746,2;700,7
papierniczej;tys. t;.;.;.;.;132,9;148,1;160,5;165,4;174,9;185,8;199,9;198,6;202,8;225,4;256;273,9;286;290,6;293,3;308,7;357,5;380;389;387,1;388,8;398;461,1;511;510,5;452,2;522,4;505,1;465;439;461,6;416;503,6;554,3;555,8;548,5;561,6;576,2;572,8;540,6;478,8;464,9;519;552,3;598,7;625,6;644,3;663,5;722,2;697,9
wiskozowej;tys. t;.;.;.;.;0,1;1,8;9,9;14,5;15,3;27,7;22,3;26;33,3;34;35,4;35,6;37,4;36,9;39,3;39,5;40,9;46,6;71,8;77,2;62,1;61,3;54,2;60,3;71;67,4;67,5;64,2;58,2;48,1;58,1;43,3;50,8;52,4;51,3;45,9;51,7;47,1;49,5;40,8;42,2;42,5;46,9;43,8;45;45,6;43,4;43,2;23,8;2,8
pozostałej;tys. t;.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;0,1;—;—;—;—;19,5;19,4;19;19,2;19,2;19,4;17,9;18,9;18;7,1;6,4;6;1,4;1,3;1,1;1;0,8;0,4;0,4;0,4;1,6;1,4;0,7;—;0,7;—;—;0;0,2;—
Produkcja papieru;tys. t;143;203;243;248;270;310;322;323;335;368;390;396;424;449;494,7;533;550,6;577;614,5;626,5;645,8;661,1;669,8;690,1;764,4;838,5;899,4;940,4;969,1;980,7;1046,2;1081,4;1069,5;1010;1033;909,5;965,4;1025,8;1042,1;1070,9;1100,4;1158,5;1220,4;1163,7;924;949,3;1031,4;1069,8;1198,8;1334,7;1349;1472,9;1525,8;1633,2
gazetowego;tys. t;28,2;36,3;52,7;61,6;60,4;63,3;69,7;64,7;57,4;60;69,3;66,2;71,2;75,1;77,1;78;79,3;76,2;76,2;78,7;73;83,3;87,2;86,7;87,9;87,5;87,1;82,9;85,6;83,2;83,3;84,2;88,7;91,4;90,7;81,6;75,5;83,2;86;81,7;58,6;69,1;21,9;8,4;25;64,2;60,8;46,2;67,6;95,4;85,5;80,4;92,2;148,6
do druku, pisania, rysowania i powielania;tys. t;.;.;.;.;73,8;.;.;.;.;129,3;134,6;138,2;133,6;144,1;144,7;146;149;156;160;163;168;163;164;172;188,1;202,1;199,7;203,6;205,6;209,9;219,3;232,9;213,5;194,7;198,7;172,7;191,9;207,8;204,9;216;256,2;295;358,3;336,8;243,2;230,4;262;284,7;336;389,1;430,8;484,6;502,3;518,4
pakowego;tys. t;.;.;.;.;.;.;.;.;.;150;153,3;155,1;180,5;189,3;228,7;259,4;266,6;284,8;313;316;329,7;336,5;337,6;344,9;405,1;460,6;511,3;543;558,4;557,1;604,9;601,9;600,9;558,4;576,4;506,5;543,4;577,4;587,5;602,1;608,6;612,9;664,4;652,6;544,8;543,9;594,6;620;691,8;726;697,8;746,6;773,9;814,4
przemysłowo-technicznego;tys. t;.;.;.;.;.;.;.;.;.;22,3;25,9;28,8;30,4;31,2;32,5;37,1;40,7;42,1;43,9;45,3;47,7;49,1;50,7;51,3;47,4;50;52,6;57;59,4;66,2;68,3;73,6;73,1;73,3;71,3;61,1;64,6;66;69,5;76;75,1;75,1;66;56,3;33,7;20,8;16,2;19,9;17,1;24,2;27,4;35;35,5;35
chłonnego, filtracyjnego i higienicznego;tys. t;.;.;.;.;.;.;.;.;.;6,4;6,9;7,7;8,3;9,3;11,7;12,5;15;17,9;21,4;23,5;27,4;29,2;30,3;35,2;35,9;38,3;48,7;53,9;60,1;64,3;70,4;88,8;93,3;92,2;95,9;87,6;90;91,4;94,2;95,1;101,9;106,4;109,8;109,6;77,3;90;97,8;99;86,3;100;107,5;126,3;121,9;116,8
Produkcja tektury;mln kartek formatu A5;29,9;33,8;42,9;47,6;77,8;67,5;73,5;77,4;79,7;111,3;117,8;122,6;123,3;133;146;156;170;179;186;189;191;193;196;198;197;200,1;207;215,5;242,9;277;277,9;280,1;256,8;237,5;243,7;214,7;215,6;205;213,8;220,9;225,9;221,2;227,4;240,9;140,7;111,4;115,7;114;127,4;142;179,1;187,1;192,4;205,6
Produkcja zeszytów i brulionów;mln kartek formatu A5;.;.;.;.;.;.;4000;4900;5823;5978;6114;4833;4670;5695;6321;6894;7663;8704;9280;10 144;10 786;11 657;11 988;12 025;12 168;14 064;9859;11 302;11 385;12 081;10 767;13 767;11 546;9823;10 574;9284;9224;11 090;11 399;11 009;12 339;11 828;11 659;9831;6418;6974;7944;6961;6871;7283;8255;10 460;11 670;12 829
