﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
pozostałego;t;2 100 500;2 703 000;2 971 400;3 463 000;3 185 000;3 315 900;3 540 600;3 008 200;3 040 100;3 909 200;4 873 000;4 971 000;4 839 000;4 698 000;4 654 900;5 454 000;5 573 000;5 951 000;6 242 000;6 880 100;7 335 000;7 431 200;7 997 300;8 510 800;8 688 030;9 022 962;9 416 465;9 618 800;9 861 523;9 794 698;10 215 891;10 131 121;10 049 400;10 242 846;9 883 721;8 609 074;8 855 809;8 508 725;8 134 488;7 436 787;7 430 979;7 493 700;7 902 861;7 772 043;7 283 833;5 664 895;6 396 009;4 506 501;4 367 375;4 072 118;4 157 321;3 785 258;3 408 260;3 110 527
Produkcja smół koksowniczych;tys. t;128;151;174;209;224;232;263;293;319;393,8;412;430;442;461;480,6;501,1;531,3;549,8;556,7;565,5;588,2;600,3;621,9;624,4;654;671,1;680;719;735,2;763,6;795,4;839,3;870,7;838,2;819,3;751,1;743,9;759,1;734,3;706,1;718,4;737,6;769,7;740,3;647,1;550,3;553,8;514,4;577,9;584,8;526,2;520,6;476,4;434,3
Produkcja benzoli koksowniczych;tys. t;40,6;46,9;60,6;71,2;74,8;76,5;86,4;94,9;105;124,5;133;139;141;142;150,1;157;166;167;171;175,9;183,1;184,8;195,6;199;199,5;201,1;208;218,3;221,9;230,9;231,2;236,2;231,6;216,2;208,6;184,6;182,3;180,7;176,9;173,8;176,7;174,6;191;178,6;155,3;128,4;139,8;127,6;149;151,9;135,5;135,1;120,9;111,6
Produkcja gazu w koksowniach i gazokoksowniach;hm3;1386;1648,7;1815,4;2079,6;2166;2291,8;2677,6;2832,1;3020,9;3629,8;3825;3932;4043;4233;4389,4;4572;4773;4982;5130;5191,3;5400,6;5529,8;5669,3;5735,4;5871;5957;6104;6391;6612;6743;7011;7319;7513;7390;7741;6500;6326;6298;6151;5915;6143;6472;6597;6459;5475;4702;4563;4077;4839;4872;4247;4414,3;4144,6;3875,7
Produkcja gazu w gazowniach i innych wytwórniach lokalnych;hm3;180,7;238;289,2;320,9;371;425,1;462,5;495,9;540,2;599,5;655;678;704;731;773,8;804;837;806;844;874,9;907,4;914,1;912;950,9;895;885;896;887;731;705;650;566;531;490;441;401;336;327;310;301;288;290;245;184;122;61;76;49;15;33;16;9,7;1,7;—
Wydobycie ropy naftowej;t;116 700;128 000;140 300;151 500;162 000;181 300;214 900;188 800;183 700;179 800;184 000;181 000;175 000;175 000;194 400;203 000;202 000;212 000;282 000;338 800;400 400;450 000;474 800;438 500;424 214;395 395;347 314;391 673;550 326;552 618;454 548;363 943;363 431;331 158;329 256;315 195;240 586;209 694;189 471;194 190;166 514;148 665;162 804;159 315;162 676;157 587;199 304;235 292;284 259;292 488;317 304;289 139;357 090;424 806
Wydobycie gazu ziemnego;hm3;149,3;148,2;156,8;135,5;182,5;276,9;313,1;318,9;358,2;393,3;436;419;384;424;549,3;733,6;820,7;983,2;1230,7;1377,8;1376,1;1570,4;2558,4;3922;5182,4;5382,9;5823,1;6027,2;5738,7;5962,6;6698,8;7295,9;7990,5;7335,2;6328,9;6171,7;5555;5491;6087,4;6389,6;5824,1;5781,1;5712,7;5367,8;3866,6;4131,9;4019,5;4949,3;4634,8;4802,7;4753,6;4836,1;4852,2;4756,8
z otworów ropno-gazowych;hm3;.;.;.;.;33,7;.;.;.;.;40,1;.;.;.;.;49,7;—;—;—;—;47;51,2;49,9;52,8;55,1;54,8;52,2;48,5;61,2;84,2;99,3;83;59,8;54,2;46,8;44,1;62,7;45,7;43,2;41,8;36,1;28,3;27,3;31,5;28,5;30;27,1;30;39,9;44,5;47,2;46;70,6;82,2;57
z otworów czysto-gazowych;hm3;.;.;.;.;148,8;.;.;.;.;353,2;.;.;.;.;491,7;671,6;744,6;902,2;1134,8;1264,9;1238,7;1413;2349,6;3617,2;4920,3;5111,8;5552,7;5749,8;5443,6;5676,4;6415;6890,2;7562,7;6906,2;5913,6;5749;5118;5049,4;5642,9;5973,7;5407,6;5307,9;5256,5;4894,9;3422,6;3717,8;3625,5;4555,6;4272;4425,5;4372,9;4433,5;4430;4367
z odmetanowania pokładów w kopalniach węgla kamiennego;hm3;.;.;.;.;—;.;.;.;.;—;.;.;.;.;7,9;—;—;—;—;65,9;86,2;107,5;156;249,7;207,3;218,9;221,9;216,1;210,9;186,9;200,8;345,9;373,6;382,2;371,2;360;391,3;398,4;402,7;379,8;388,2;445,9;424,7;444,4;414;387;364;353,8;318,3;330;334,7;332;340;322,8
