﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja kwasu siarkowego w przeliczeniu na 100%;tys. t;124;155;222;276;285;277;348;370;419;450;481;499;573;610;684,8;794,2;852,4;888,3;1001,5;1062,1;1138,6;1213,1;1314,5;1515,5;1901,4;2252;2568,2;2913,6;3333,4;3413;3178,8;3268,3;3172,3;2983,4;3019,3;2775,5;2675,9;2786,2;2769,1;2862,6;2965,5;3149;3154,3;3114,5;1721,1;1088,4;1244,3;1144,8;1451,9;1861;1760,5;1791;1707,5;1481,6
Produkcja dwuchromianu sodowego;t;328;469;983;1185;1595;1905;2262;2348;2773;3978;4186;.;.;.;7877;8527;9146;9127;11 347;13 973;13 948;14 998;16 040;16 642;17 728;18 599;18 794;19 428;15 695;22 343;19 202;19 082;18 756;18 783;18 592;17 472;18 465;18 541;18 702;18 606;19 295;19 007;19 232;18 610;14 465;11 858;11 749;9537;12 202;12 879;12 376;13 299;13 749;12 184
Produkcja sody bezwodnej łącznie z ciężką i bikarbonatem surowym w przeliczeniu na 98% (na zbyt);tys. t;81,2;82,7;98,3;123;149;169;174;191;202;219;226;244;380;457;532,9;536,2;540,8;543,3;596,1;614;620,8;627,1;636,8;640,9;657,1;682,4;723,2;724,8;729;730,2;741,1;684,9;677,1;697,7;761,8;700,4;746,2;824,5;918,2;939,4;962,9;930,1;955,9;1005;967,8;961,8;928,7;815,2;996,5;1018,8;908,8;949,8;1000;926,4
Produkcja wodorotlenku sodowego (sody kaustycznej) w przeliczeniu na 96%;tys. t;15,4;29,4;47,3;56,4;64,6;70,9;70,8;81,9;87,7;101,6;122;136;151;159;174,1;185,9;195,6;200,3;214,4;223,7;247,5;275,5;307,5;324,4;325,8;331,9;349,4;352;375,5;408,1;404,2;450,2;488,8;454;432,8;417;378,1;407,8;434;430,8;445;440,1;462,6;452,5;404,5;323,8;326,4;295,5;296,6;326,8;354,4;363,4;363,8;376,9
Produkcja karbidu w przeliczeniu na 75%;tys. t;87;108;150;154;172;179;167;185;181;211,3;213;210;252;279;320,6;359,9;360,4;380,5;448;488,4;511,3;518,2;521,9;521,5;532,6;544,4;549,6;580,4;609,6;622;603;579,2;560,3;472,8;454,8;421,5;402,6;440,6;468,6;434,4;446,4;414;412,9;395,5;297,4;283;220,8;180,4;173,7;178;145;120,6;69,6;53,2
Produkcja nawozów sztucznych (bez wapniowych);tys. t;361;450;644;814;856;876;915;976;1153;1470,2;1492;1597;1795;1941;2160;2385;2641,1;2725;3105,5;3330;3606,4;4021;4935;5641,2;6045,4;6379,2;6570,1;7181,3;7477;8026,8;7984,7;7916,9;7936,9;7355,9;6974,8;7116,3;7175,7;7335,5;7413,5;7134,6;7833,4;8010,4;8276,6;8208,9;5423;4287,9;4547,3;4707,1;5539,7;6490,7;6624,6;6558,4;5983;5633,6
azotowych;tys. t;189;252;355;388;410;397;384;424;508;775;853;883;1019;1064;1112,8;1191,1;1268,5;1329,5;1451,4;1522,7;1705,6;2034,7;2506,1;2940,5;3141,5;3216,8;3367;3909,8;4112,8;4244;4224,6;4158,8;4044,5;3789,6;3564,4;3526,6;3567,2;3740,9;3813,6;3457,9;3922,1;4134,2;4353;4389,6;3603,8;3332,6;3278,2;3513,5;3813,9;4389,2;4377,5;4270,9;3739;3433,2
siarczanu amonu nawozowego;tys. t;31,1;39,1;45,2;55,8;60,8;60,7;68,3;75;81,9;100,4;106;109;112;118;129;147,4;162,1;173,4;196,7;219,7;250,2;258,1;280,6;279,6;281,3;308,2;336,9;358,7;394;437;458,6;528,2;566,2;548,3;554,2;499,8;489,4;547,5;527,9;508,5;525,1;519,9;564,9;568,3;525,1;527,3;523,2;510,4;526,7;590,4;546,8;571,3;540;593,3
saletrzaku;tys. t;37;70;130;111;122;114;91,9;113;193;409,8;510;386;535;407;430,4;545,8;580,3;623,1;644,2;611,4;685,6;737,6;793;788,2;903,7;934,8;942,8;982,1;975,6;903,2;919,1;826,5;756,8;694,8;552,7;575,8;528,4;518,9;668,3;624,4;623,4;560,1;660,3;681,9;499,2;550,6;567,2;642,2;650,1;665;797,6;713,8;674,4;771,6
saletry amonowej nawozowej;tys. t;—;—;—;—;—;—;—;—;—;—;.;141;99,1;274;286;243,3;273;286,9;293,2;286,4;344,5;397,3;729,3;1124,9;1080,5;1059,3;1192,2;1591;1776,5;1961,4;1886,4;1889,1;1919,4;1857,2;1830,3;1879,6;1915,2;2110,4;2010,7;1793,8;2006,3;2168,7;2148,3;2109,2;1520,4;1100,1;990,4;1152,1;1299,9;1473,7;1375,4;1314,7;1286;1285,6
mocznika nawozowego w przeliczeniu na 46% N2;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;0,9;0,4;4,3;4,6;14,7;93,1;159;371,2;443,6;574,4;760,5;819,3;800,5;890,8;926,9;923,2;948,5;893,7;781,8;680;620,6;560,2;624,2;553,5;598,8;522,3;758,9;873,1;970,8;1023,5;989,1;664,3;635;528,8;730,6;606,4;581;863,9;729,8;580,7
fosforowych;tys. t;172;198;289;426;446;479;531;552;645;695,2;639;714;776;877;1044,7;1191,2;1368,4;1388,8;1644,4;1792,4;1888,9;1971,7;2414,8;2687,8;2871,9;3016,3;2933,6;2890,3;2737;2882,8;2842,3;2802,7;2927,4;2659,2;2574,1;2772,3;2756,5;2752,6;2725,4;2720,7;2908,2;2847,7;2879,6;2765,4;1231,6;563,7;474,3;289,2;364,6;411,2;411,5;361,4;336,5;294,5
superfosfatów;tys. t;159;184;279;392;388;328;432;425;490;522,6;478;526;581;631;700,1;822,6;995,5;1010,4;1249,6;1379,9;1484,7;1569,1;1933,6;2180,4;2398,3;2567,8;2468,7;2461,9;2550,9;2661,1;2616,7;2562,1;2688,7;2446,3;2381,4;2599,2;2579;2578;2568,5;2553,9;2726;2761,6;2803,9;2688,7;1231,6;563,7;474,1;288,8;364,5;411,1;411,4;361,4;336,5;294,4
nawozów wieloskładnikowych;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1,8;2,7;4,2;6,4;9,7;14,6;11,9;14,6;14,1;12,9;32;146,1;269,5;381,2;627,2;900;917,8;955,4;965;907,1;834,5;811,2;852;839,2;871,5;954;999,9;1026;1041;1049,9;584,2;387;765,1;898;1351,8;1677,4;1816,1;1905;1809,5;1747,6
Produkcja nawozów sztucznych (bez wapniowych) w przeliczeniu na czysty składnik;tys. t;62,9;79,8;115,8;147,5;160,3;160,3;177,5;192,9;220,6;286;299;340;382;430;477,3;517,1;572,8;599,1;673,6;738,1;826,6;973,9;1233,3;1471,4;1629,1;1786,4;1910,3;2179,5;2339,4;2580,8;2596;2609,8;2620,8;2417,3;2237,5;2240,8;2284,1;2324,3;2355,6;2269,6;2525,7;2622,2;2718,6;2724,6;1854,9;1460,7;1622,3;1663,8;2036,5;2414,4;2479,6;2509,2;2298,3;2081,3
azotowych (łącznie z nawozami wieloskładnikowymi);tys. t N2;35,1;47;66,8;73,9;77,8;79,8;75,5;83,9;99,6;154,1;175;201;228;256;270,2;281,8;307,8;329,6;359,4;394,5;462,4;593,6;758,9;937,8;1029,9;1080,8;1147,3;1365,6;1457,5;1532,6;1548,1;1520,9;1470,2;1375,6;1290;1273,5;1297,7;1341,5;1369,3;1253,7;1445,2;1543,2;1622,2;1642,6;1303,2;1148,2;1166,6;1223,6;1385,5;1619,3;1615,4;1604;1406,4;1272,2
fosforowych (łącznie z nawozami wieloskładnikowymi);tys. t;27,8;32,8;49;73,6;82,5;80,5;102;109;121;131,9;124;139;154;174;207,1;235,3;265;269,5;314,2;343,6;364,2;380,3;474,4;533,6;599,2;705,6;763;813,6;823,2;929,4;928,3;966,2;1026,4;931;842,5;866,1;868,1;871,6;868,7;888,8;947,9;942,5;962;945,2;467,2;252,5;329,1;281,6;415,1;523,1;569,9;596,1;593,3;534,6
pozostałych;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;0,3;58,7;118,8;119,6;122,7;124,2;110,7;105;101,2;118,3;111,2;117,6;127,1;132,6;136,5;134,4;136,8;84,5;60;126,6;158,6;235,9;272;294,3;309,1;298,6;274,4
Produkcja etylenu;t;—;—;—;—;—;.;.;.;.;.;.;.;.;.;1100;1115;1131;1147;1163;1180;5491;10 243;19 422;23 324;26 289;35 258;61 974;76 572;91 461;95 033;94 602;96 524;98 327;98 390;184 712;182 076;174 996;198 007;255 972;261 244;279 088;276 481;327 919;322 061;308 210;271 357;283 127;289 076;235 019;260 024;298 828;307 920;330 188;.
Produkcja propylenu;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;443;3803;14 982;21 806;24 017;25 266;27 173;36 653;42 482;58 623;50 949;83 690;96 323;84 987;128 625;121 523;117 214;125 655;104 800;166 553;166 183;169 777;197 726;201 734;192 757;176 862;189 641;187 526;163 518;175 572;194 067;201 559;189 130;.
Produkcja metanolu w przeliczeniu na 100%;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;20 738;19 026;43 964;43 812;52 372;70 897;64 629;72 214;79 237;83 504;83 702;86 287;84 724;106 639;115 718;148 609;197 541;193 498;195 754;193 395;187 705;185 200;168 827;173 535;182 779;177 483;168 887;171 856;168 326;162 069;155 449;101 997;59 322;29 451;21 637;81 749;71 814;93 057;31 678;2045
Produkcja butanoli w przeliczeniu na 100%;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3015;6218;6932;6764;6342;8006;11 428;18 463;19 725;19 288;20 062;22 953;21 187;22 325;26 184;26 410;25 942;23 666;23 580;20 456;21 692;19 617;20 038;20 465;22 219;16 347;21 162;36 807;43 914;47 080;38 261;39 903;32 088;28 995;26 950;32 350;30 208;36 407;26 955;27 313
Produkcja acetonu;t;.;.;.;.;220;251;270;323;619;663;685;731;1012;1291;1475;1424;1680;1875;1918;1459;642;79;2518;5179;7347;9058;12 273;13 902;17 250;17 846;19 429;21 210;21 930;22 950;23 924;22 003;20 297;23 341;22 053;21 395;22 389;21 793;23 272;22 787;22 279;14 601;20 069;15 324;22 863;27 088;29 788;29 747;29 679;30 166
Produkcja akrylonitrylu;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;9533;8900;9900;11 700;15 000;11 960;13 060;12 730;13 235;12 169;12 391;9489;9679;12 820;13 120;12 590;12 310;10 920;11 100;11 415;1320;—;—;—;—;—;283;276;213;189
Produkcja dwusiarczku węgla;tys. t;.;.;.;.;.;.;.;.;.;16,8;18,5;.;.;.;20,4;22,2;22,2;22,9;23,9;28,9;24;24;24,1;26,1;29,9;32,4;33;28,8;30,8;31;38,7;31,7;32,5;49,7;98,3;97,4;124,8;125,1;130;137,6;147,1;148,2;151,8;157,9;99,7;70,1;62,9;64,3;73;71,9;56,4;50,2;54,1;53
Produkcja toluenu;t;.;.;.;.;.;.;.;.;.;12 391;14 285;15 351;13 569;14 559;15 366;.;.;.;.;20 700;.;.;.;.;16 636;17 165;19 480;38 535;56 374;82 221;75 611;98 972;95 529;92 741;92 604;89 171;91 546;102 362;92 126;99 053;95 667;102 159;102 286;107 724;88 225;64 807;46 305;50 759;43 489;54 890;48 607;53 770;44 291;51 396
Produkcja ksylenów;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;5300;.;.;.;.;38 584;36 793;51 351;58 029;89 666;78 965;78 518;75 137;91 783;93 163;83 595;71 779;56 206;69 334;72 178;86 409;88 272;81 678;89 074;85 538;48 688;51 378;40 404;31 995;28 295;35 757;29 496;36 684;30 866;37 127
