﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
celulozowych;t;8710;11 894;17 943;22 068;24 024;25 894;29 554;38 507;45 059;50 428;55 277;58 421;60 479;62 193;69 838;73 941;76 033;76 851;79 094;79 582;79 340;78 795;79 285;79 848;80 592;82 298;88 953;95 135;97 081;95 720;95 538;95 745;93 373;83 836;86 414;63 864;64 566;71 350;74 227;70 876;72 031;73 259;74 155;66 694;35 632;25 506;22 021;23 515;23 405;22 096;15 688;6386;3689;2364
jedwabiu wiskozowego;t;3520;5582;7113;9031;9486;10 538;11 903;13 146;13 933;15 430;16 288;17 012;18 295;20 018;21 711;23 395;24 753;25 317;26 400;27 056;26 586;25 681;26 203;26 824;27 665;28 829;29 221;30 057;30 451;28 271;28 656;28 612;27 995;27 194;25 386;19 531;19 030;19 485;20 456;20 291;18 971;19 321;20 212;18 539;13 834;8092;6033;6372;5823;5483;4980;3862;3622;2364
włókien wiskozowych ciętych;t;5190;6312;10 830;13 037;14 538;15 356;17 651;25 361;31 126;34 998;38 989;41 409;42 184;42 175;48 127;50 546;51 280;51 534;52 694;52 526;52 754;53 114;53 082;53 024;52 927;53 469;59 732;65 078;66 630;67 449;66 858;67 127;65 378;56 642;61 028;44 333;45 536;51 865;53 771;50 584;53 060;53 938;53 943;48 155;21 798;17 414;15 988;17 135;17 582;16 613;10 673;2519;67;—
syntetycznych;t;—;—;—;21;38;76;195;293;359;533;792;1359;2274;3295;4450;5395;6156;8245;13 456;21 619;27 243;33 801;41 705;46 908;53 803;66 209;71 551;80 366;96 290;121 610;140 733;150 441;155 936;158 218;167 597;139 056;134 508;154 119;161 105;164 700;157 832;161 641;168 449;168 787;113 432;79 848;88 767;90 714;114 164;114 896;101 697;112 160;90 928;86 113
poliamidowych;t;—;—;—;21;38;76;195;293;359;533;792;1359;2274;3295;4434;5323;6032;8093;10 278;13 305;14 225;16 513;18 041;20 049;23 228;30 603;33 386;37 630;40 042;51 121;63 950;67 766;70 494;72 087;72 763;64 660;61 845;63 055;66 877;70 250;67 630;67 757;66 782;65 848;38 277;27 559;25 821;24 689;31 324;36 424;31 936;34 083;25 252;19 794
poliestrowych;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;16;62;108;137;3176;6538;8528;11 755;15 661;18 499;20 362;24 887;26 899;31 065;44 093;57 716;62 804;68 099;70 792;71 747;80 594;65 297;61 371;78 018;80 995;81 243;76 934;81 053;87 440;88 048;65 519;45 512;55 063;58 511;76 213;72 653;63 869;72 290;59 820;56 888
akrylowych;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;10;16;15;1;1774;4490;5533;8003;8360;10 207;10 716;11 266;11 666;12 101;12 240;12 455;12 505;12 527;12 288;12 232;7357;9582;11 363;11 151;10 919;10 794;10 446;10 926;10 938;7341;4104;5177;3937;2991;340;288;187;132;2
pozostałe;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;2;—;—;—;—;6;3;—;5;54;533;1524;2071;2123;2096;2008;1742;1710;1683;2082;2288;2474;2385;3301;3953;2295;2673;2706;3577;3636;5479;5604;5600;5724;9429
pozostałe;t;—;—;119;600;760;1339;2195;2515;2877;2992;3059;3337;3465;3591;3517;3702;3001;3184;2728;2662;2890;3706;3012;3741;3718;2431;1734;2418;2388;2212;2242;2363;2684;2404;2391;1799;4341;4799;5018;5376;3572;2569;2600;2400;827;296;132;5;4;1;97;—;—;—
Produkcja garbników syntetycznych w przeliczeniu na 100%;t;—;—;200;700;800;1400;1200;2000;1900;2140;1900;2700;2400;3200;3165;3509;3689;3664;3908;3174;4331;4189;3854;3654;3792;4015;4511;4562;4381;4445;4313;3709;4092;3550;3716;5130;2785;3011;3055;2933;3066;2666;3035;2393;776;585;582;638;888;945;932;731;576;440
Produkcja bieli cynkowej;t;5000;13 200;15 000;17 000;18 500;21 500;21 800;23 000;24 600;26 348;28 400;31 500;31 200;32 600;35 330;36 327;37 396;36 058;36 900;38 034;38 821;39 312;38 191;36 712;35 844;41 598;41 190;43 048;42 376;42 690;44 102;38 531;35 495;36 662;31 091;28 292;25 487;29 606;30 227;31 722;31 875;32 381;32 717;27 685;10 596;9775;9879;7490;9339;11 975;13 357;12 335;12 145;10 896
Produkcja litoponów;t;.;.;.;.;.;.;.;.;.;6045;6052;6248;6090;6497;7018;8079;7964;8151;8642;8507;9855;13 279;15 785;16 428;14 333;17 488;17 344;17 658;18 325;18 359;18 553;18 027;18 008;17 853;16 406;14 369;12 376;13 702;14 590;14 133;14 223;14 812;13 371;12 290;5903;3434;2288;1068;1761;420;—;—;—;—
Produkcja wyrobów lakierowych;t;1800;2900;7500;10 700;22 200;27 800;32 200;36 900;44 900;48 355;56 000;65 700;75 500;87 800;100 472;119 008;131 352;136 394;150 717;170 921;197 349;225 238;246 106;262 001;272 256;293 826;333 401;380 168;428 373;448 327;463 654;431 161;412 292;414 376;416 232;345 131;292 125;345 083;379 553;408 340;415 367;403 581;414 649;381 220;202 246;190 571;209 444;215 685;233 224;248 389;265 119;292 636;320 300;334 265
Produkcja środków do prania i mycia;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;167 000;174 000;181 000;188 000;196 000;204 000;174 000;187 000;202 000;194 000;209 465;195 792;190 430;224 429;251 672;247 510;258 718;275 536;275 230;281 864;293 376;286 107;322 391;284 487;265 273;300 819;352 655;357 442;390 454;379 123;242 576;223 834;194 489;211 321;241 198;226 813;278 235;318 860;341 245;299 548
mydeł;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;68 010;74 889;73 076;73 120;71 532;71 591;72 191;72 205;69 418;75 312;73 789;54 542;63 791;76 100;73 601;75 783;69 651;56 850;37 165;33 896;27 275;28 933;28 291;32 324;37 932;39 608;41 392
do prania;t;2200;6900;17 900;40 800;59 200;57 600;51 500;52 900;48 400;44 344;56 500;64 000;63 300;67 400;67 047;70 117;74 338;61 285;70 088;61 737;54 107;54 196;53 039;43 594;33 750;25 947;24 651;25 870;22 859;14 244;15 825;15 045;16 349;11 689;9042;6769;6936;7044;7261;10 520;7838;8795;10 874;9405;11 164;7737;7698;5031;4531;4199;4229;4205;3599;2549
półtoaletowych, toaletowych i specjalnego przeznaczenia;t;.;.;.;2500;2700;3600;2500;3700;5000;6347;6400;7700;9300;10 900;11 308;11 706;13 076;14 166;15 192;21 744;17 082;19 790;21 532;24 045;27 138;29 879;35 874;42 140;49 803;55 808;53 979;53 886;52 752;58 297;60 729;60 038;65 419;63 170;44 451;50 779;65 262;61 963;61 655;57 283;44 917;27 746;25 301;21 844;24 257;23 905;27 925;33 598;35 591;37 466
pozostałych;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2227;3024;3316;2601;2490;2205;2434;2611;2957;3575;2830;2492;3000;2843;3254;2963;769;1682;897;400;145;187;170;129;418;1377
proszków i granulek do prania;t;18 000;21 400;36 000;30 000;38 900;45 300;42 200;47 400;48 800;65 100;73 700;72 300;82 600;85 800;88 935;87 400;87 900;95 400;114 000;109 146;94 526;103 745;114 278;107 750;122 234;116 093;107 511;133 100;146 092;146 956;154 289;172 791;171 282;179 809;187 878;178 147;200 156;173 803;186 039;209 571;232 853;240 995;263 287;261 838;158 269;161 554;140 461;167 289;193 212;183 303;229 773;262 859;276 931;231 632
pozostałych;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;23 319;30 691;27 478;31 309;31 213;32 357;29 864;33 293;38 542;46 923;36 895;24 692;27 457;43 702;42 846;51 384;47 634;27 457;25 115;20 132;16 757;19 053;15 219;16 138;18 069;24 706;26 524
Produkcja acetylenu sprężonego dla celów spawalniczych na zbyt;t;1045;1278;1581;1835;2572;3362;4051;4169;4363;4500;4623;4614;5124;5306;5680;6135;6873;7171;7660;8334;8735;9014;9738;10 062;10 811;11 691;11 983;12 434;16 803;13 986;16 573;16 837;15 469;15 589;16 569;14 354;16 211;13 817;15 366;17 636;13 937;13 705;14 295;16 292;13 354;13 245;12 581;11 428;10 228;8561;9773;10 381;10 896;10 847
Produkcja papierów fotograficznych srebrowych;tys. m2;.;.;.;.;.;.;.;.;.;2687;2354;2472;3160;3209;3534;4092;4103;3142;3645;4308;4724;4807;4572;4920;5333;4918;5865;6000;6293;6891;7100;6750;6070;5688;6140;5682;4390;5166;6033;6539;6828;6492;5945;6024;1995;1104;506;442;225;209;167;116;47,3;12
Produkcja wykładzin i okładzin z tworzyw sztucznych dla budownictwa;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;46 199;46 447;62 963;81 827;81 962;124 996;122 086;98 351;99 163;105 288;96 838;69 736;57 944;70 906;84 293;76 421;65 325;69 189;72 195;68 673;45 161;46 750;49 412;49 683;47 397;45 083;40 393;45 814;45 399;44 530
Produkcja wykładzin i okładzin z tworzyw sztucznych dla budownictwa;tys. m2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14 100;13 842;17 958;23 394;23 047;39 843;44 180;38 565;38 652;39 740;36 946;26 995;24 995;28 808;34 081;30 879;28 307;27 824;28 965;31 113;22 508;28 212;26 158;26 979;25 786;26 550;29 849;30 654;28 447;38 595
Produkcja sztucznych skór;t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;1955;2153;2994;5018;6358;5566;4866;10 955;11 557;13 567;16 472;14 256;15 439;14 755;15 003;14 764;9675;8944;12 664;13 551;14 153;13 546;13 919;15 768;13 000;8504;5370;3876;3748;3557;7505;9657;10 123;7664;4885
Produkcja garbników roślinnych;t;.;.;.;.;.;.;.;.;.;1234;1300;1400;1400;2100;2833;2955;3118;2921;2157;1846;1836;1748;1643;2441;2412;2669;2896;2964;2959;2583;2735;2961;2456;3139;2431;2429;907;1769;684;705;696;851;764;710;352;55;—;—;—;—;—;—;—;—
Produkcja wyrobów gumowych (łącznie z obuwiem gumowym i tekstylno-gumowym);t;.;9400;14 800;19 900;27 700;33 800;45 600;55 200;65 800;74 000;87 100;107 000;110 000;118 000;129 900;146 200;167 100;172 300;183 100;189 600;205 000;216 700;243 300;265 400;279 917;304 536;324 456;354 622;384 250;396 279;405 823;409 009;390 425;393 591;400 964;339 256;319 075;353 229;375 825;374 932;364 150;356 024;366 275;343 869;203 989;161 488;171 362;184 317;210 085;248 668;266 414;270 907;288 032;289 729
ogumienie środków transportu oraz maszyn i urządzeń (łącznie z rowerowym i motorowerowym);t;1300;2600;6000;6500;8400;7000;12 300;15 700;18 900;19 536;23 700;33 100;35 300;38 800;46 065;53 489;63 113;63 817;66 977;69 091;71 385;68 893;80 036;97 175;113 762;116 892;123 131;137 244;153 697;155 480;158 475;159 998;153 899;160 023;162 602;133 447;120 646;143 646;159 996;162 935;159 786;157 663;163 179;160 467;105 948;84 752;99 368;105 725;128 245;151 736;159 659;162 339;184 842;175 592
Ogumienie środków transportu oraz maszyn i urządzeń (łącznie z rowerowym i motorowerowym);tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8964;12 413;15 340;14 095;15 863;16 354;17 467;18 144;20 120;20 871;25 263;24 181;28 861;32 425;34 434;34 327;36 207;35 018;37 481;34 254;35 382;33 953;27 414;30 606;33 294;32 753;33 813;33 545;33 920;33 648;22 805;19 221;19 798;20 948;24 577;27 320;27 768;31 082;31 673;32 061
opony do pojazdów samochodowych;tys. szt.;.;.;120;145;189;148;294;354;436;469;449;773;938;1032;1222;1441;1536;1483;1597;1697;1774;1737;2219;2713;2995;3023;3380;3929;4525;4566;4764;5425;5854;6559;6533;4804;4043;5084;5902;6254;6217;6020;6276;6025;4704;4516;5607;6479;7612;9502;10 930;11 939;14 410;19 160
do samochodowych osobowych;tys. szt.;.;.;49;52;44;57;75;86;126;132;134;213;336;407;523;660;588;434;470;596;608;602;844;1063;1170;1044;1217;1552;1800;1817;2221;3054;3769;4159;4031;3063;2493;3167;3821;4033;4074;4027;4198;4065;3575;3625;4542;5278;6223;7753;9045;10 294;12 684;17 680
do pojazdów samochodowych ciężarowych oraz do maszyn i urządzeń (bez rolniczych);tys. szt.;.;.;71;93;145;91;219;268;310;337;315;560;602;625;699;781;948;1049;1127;1101;1166;1135;1375;1650;1825;1979;2163;2377;2725;2749;2543;2371;2085;2400;2502;1741;1550;1917;2081;2221;2143;1993;2078;1960;1129;891;1065;1201;1389;1749;1885;1645;1726;1480
opony ciągnikowe;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;145;151;182;195;245;272;321;327;306;346;414;530;537;589;652;609;741;836;842;838;783;665;718;902;1039;982;890;862;801;935;502;351;485;505;634;712;682;744;748;707
opony do maszyn i urządzeń rolniczych;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;109;132;195;213;193;224;261;295;389;460;546;485;517;599;736;730;751;661;567;616;704;665;561;709;764;851;810;747;688;877;493;218;310;369;514;474;346;396;601;489
opony rowerowe;tys. szt.;.;.;.;2249;2363;1678;1148;1641;2314;2653;2939;2501;2384;2666;2461;3667;5408;5115;6055;5367;5950;5682;5418;5098;5148;5537;6235;6903;6508;5995;6438;6431;6559;6292;6266;6559;5858;6024;5687;5430;5494;5458;5811;5767;5723;3940;4498;4212;4830;5748;4252;4728;4268;2703
