﻿Wskaźnik;Jednostka;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Placówki pocztowe i placówki usług telekomunikacyjnych (stan w dniu 31 XII);szt.;4940;5334;5740;6049;7214;7108;7115;6925;6868;6909;6953;7002;7051;7081;7128;7179;7263;7347;7435;7498;7574;7656;7768;7879;7949;8074;8088;8094;8106;8125;8147;8149;8155;8170;8232;8262;8297;8342;8405;8273;8041;7895;8011;8110;8189;8303;8361;8398;8387
w miastach;szt.;993;.;.;.;1262;1285;1330;1462;1458;1520;1560;1610;1828;1858;1902;1935;2000;2055;2108;2156;2204;2256;2324;2424;2482;2658;2733;2790;2840;2886;2929;2942;2957;2984;3046;3070;3102;3149;3219;3115;3023;2959;2818;2910;3006;3139;3208;3293;3353
na wsi;szt.;3947;.;.;.;5952;5823;5785;5463;5410;5389;5393;5392;5223;5223;5226;5244;5263;5292;5327;5342;5370;5400;5444;5455;5467;5416;5355;5304;5266;5239;5218;5207;5198;5186;5186;5192;5195;5193;5186;5158;5018;4936;5193;5200;5183;5164;5153;5105;5034
Przesyłki listowe zwykłe nadane;tys. szt.;470 000,0;500 000,0;530 000,0;562 000,0;598 000,0;633 900,0;702 500,0;745 300,0;779 093,0;824 576,0;853 609,0;868 172,0;906 037,0;961 501,0;1 028 295,0;1 091 689,0;1 169 988,0;1 240 926,0;1 299 889,0;1 346 724,0;1 387 219,0;1 435 787,0;1 450 732,0;1 173 848,0;1 214 544,0;1 231 291,0;1 260 000,0;1 288 421,0;1 317 662,0;1 314 325,0;1 262 132,0;1 242 527,4;1 150 593,6;1 193 476,8;1 167 774,3;1 038 875,4;1 034 908,5;1 061 182,5;1 104 119,5;848 784,7;731 024,6;677 705,3;814 092,3;947 279,1;1 122 285,2;1 131 237,7;1 203 857,9;1 353 799,3;1 453 309,6
w obrocie krajowym;tys. szt.;.;.;.;.;.;612 894,0;678 761,0;707 328,0;754 080,0;794 656,0;817 730,0;827 870,0;860 007,0;909 218,0;971 928,0;1 029 481,0;1 108 123,0;1 175 175,0;1 231 147,0;1 267 017,0;1 314 694,0;1 365 473,0;1 381 629,0;1 102 900,0;1 138 649,0;1 152 180,0;1 187 751,0;1 216 096,0;1 247 425,0;1 241 640,2;1 186 208,6;1 169 656,7;1 065 515,3;1 113 062,1;1 085 154,1;922 843,4;906 526,3;927 065,1;971 466,7;719 058,7;641 358,5;572 434,5;723 189,5;871 806,1;1 088 755,7;1 098 111,4;1 170 185,3;1 318 152,9;1 416 308,8
z Polski za granicę;tys. szt.;.;.;.;.;.;21 006,0;23 739,0;37 972,0;25 013,0;29 920,0;35 879,0;40 302,0;46 030,0;52 283,0;56 367,0;62 208,0;61 865,0;65 751,0;68 742,0;79 707,0;72 525,0;70 314,0;69 103,0;70 948,0;75 895,0;79 111,0;72 249,0;72 325,0;70 237,0;72 684,8;75 923,4;72 870,7;85 078,3;80 414,7;82 620,2;116 032,0;128 382,2;134 117,4;132 652,8;129 726,0;89 666,1;105 270,8;90 902,8;75 473,0;33 529,5;33 126,3;33 672,6;35 646,4;37 000,8
Przesyłki listowe zwykłe przychodzące z zagranicy do Polski;tys. szt.;.;.;.;.;.;15 584,0;20 475,0;27 667,0;25 543,0;29 757,0;28 064,0;28 493,0;30 274,0;35 048,0;39 482,0;39 382,0;44 158,0;53 866,0;56 626,0;65 810,0;58 119,0;52 536,0;55 469,0;65 309,0;79 971,0;84 734,0;73 307,0;65 798,0;72 447,0;81 111,0;97 699,6;77 752,2;74 872,9;96 376,7;90 373,4;92 096,4;83 912,6;98 807,6;104 783,5;100 853,5;104 575,1;115 827,5;94 693,2;110 187,0;44 860,6;45 067,5;47 790,3;51 307,4;52 949,8
Listonosze (przeciętne w grudniu);osoba;.;.;.;.;.;21 734;.;22 798;23 164;23 526;23 745;23 707;24 031;24 285;24 098;24 481;24 626;24 561;24 925;24 914;25 272;25 590;25 918;25 927;25 886;25 659;25 811;25 804;25 708;25 520;25 570;25 969;26 076;26 298;26 246;26 803;26 847;26 855;26 750;26 379;26 203;26 201;25 586;25 498;25 676;25 896;25 795;25 940;26 118
