﻿Wskaźnik;Jednostka;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Stacje telewizyjne nadawcze (stan w dniu 31 XII);szt.;1;2;4;5;6;8;9;16;16;17;17;19;19;19;19;21;24;28;38;44;47;53;56;65;70;72;76;82;83;85;82;85;85;84;84;86;84;87;90;113;135;143;157;169
Stacje satelitarne nadawczo-odbiorcze - naziemne (stan w dniu 31 XII);szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1;1;1;1;1;1;2;2;2;2;2;4;4;5;5;5;5;7;53;80;160;214;257
